,municipality,house_price,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,year,quarter_num,quarter_ord,log_price_sqm,avg_income,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university
3201,Fundão,613.0,1042.8967138888888,11.46040344932845,8.3010989010989,154.5,1.6978021978021978,2021,2,7,6.418364935936212,1055.2,1.0,1.0,1.0,4.0,3.0,24.0,1.0,4.0,12.0,21.0,9.0,15.0,58.0,12.0,3.0,2.0
3202,Gouveia,396.0,913.5056138888888,10.038523229548227,8.910989010989011,54.3,0.5967032967032968,2021,2,7,5.981414211254481,951.6,2.0,0.0,3.0,7.0,3.0,9.0,4.0,0.0,10.0,11.0,5.0,4.0,28.0,4.0,2.0,1.0
3205,Mêda,270.0,1049.6402527777775,11.534508272283272,10.52087912087912,166.9,1.8340659340659344,2021,2,7,5.598421958998375,919.2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0
3208,Seia,429.0,1011.347425,11.113707967032967,8.279120879120878,273.6,3.006593406593407,2021,2,7,6.061456918928017,968.0,2.0,0.0,3.0,5.0,3.0,10.0,5.0,0.0,10.0,12.0,8.0,7.0,32.0,13.0,2.0,1.0
3209,Trancoso,218.0,1026.9120777777778,11.284748107448108,12.0989010989011,171.7,1.8868131868131868,2021,2,7,5.384495062789089,1015.7,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,5.0,5.0,2.0,2.0,11.0,1.0,1.0,0.0
3210,Alcobaça,909.0,901.4027638888888,9.90552487789988,11.45934065934066,197.3,2.1681318681318684,2021,2,7,6.812345094177479,1074.2,3.0,3.0,3.0,8.0,9.0,39.0,7.0,12.0,15.0,28.0,13.0,15.0,104.0,12.0,3.0,5.0
3212,Arruda dos Vinhos,1239.0,1072.1008833333333,11.781328388278387,16.4989010989011,166.4,1.8285714285714287,2021,2,7,7.122059881629142,1141.4,0.0,0.0,0.0,2.0,2.0,8.0,2.0,1.0,2.0,5.0,2.0,2.0,13.0,1.0,1.0,0.0
3213,Bombarral,785.0,1058.0133166666667,11.626519963369963,14.248351648351647,183.2,2.013186813186813,2021,2,7,6.665683717782408,997.9,1.0,0.0,1.0,3.0,0.0,8.0,5.0,0.0,3.0,5.0,3.0,3.0,14.0,4.0,2.0,0.0
3214,Cadaval,707.0,1024.6984777777775,11.260422832722831,14.724175824175823,188.4,2.0703296703296705,2021,2,7,6.561030665896573,1043.3,1.0,0.0,1.0,3.0,1.0,5.0,3.0,0.0,2.0,5.0,2.0,2.0,18.0,4.0,3.0,0.0
3216,Lourinhã,1137.0,1063.358325,11.68525631868132,16.75824175824176,160.4,1.7626373626373626,2021,2,7,7.036148493750536,1077.0,0.0,0.0,1.0,1.0,0.0,13.0,3.0,1.0,3.0,11.0,2.0,8.0,30.0,2.0,2.0,0.0
3217,Nazaré,1446.0,888.0312472222222,9.758585134310136,8.74945054945055,597.3,6.563736263736264,2021,2,7,7.27655640271871,1081.2,2.0,0.0,2.0,2.0,2.0,7.0,3.0,2.0,5.0,7.0,6.0,2.0,26.0,5.0,2.0,0.0
3218,Óbidos,1295.0,1058.952183333333,11.63683717948718,15.13956043956044,189.6,2.083516483516484,2021,2,7,7.166265974133638,1062.9,1.0,3.0,1.0,2.0,7.0,20.0,3.0,8.0,12.0,10.0,4.0,3.0,49.0,5.0,1.0,3.0
3219,Peniche,1176.0,1065.1384972222222,11.704818650793651,17.66813186813187,163.0,1.7912087912087913,2021,2,7,7.069874128458572,1050.1,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,4.0,5.0,3.0,3.0,22.0,2.0,1.0,2.0
3220,Sobral de Monte Agraço,891.0,1066.1376916666666,11.71579880952381,16.2978021978022,151.3,1.6626373626373627,2021,2,7,6.792344427470809,1059.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,9.0,6.0,1.0,0.0
3221,Torres Vedras,1201.0,1065.3959083333334,11.707647344322345,15.663736263736263,147.8,1.6241758241758244,2021,2,7,7.0909098220799835,1108.6,1.0,0.0,1.0,5.0,4.0,36.0,5.0,1.0,7.0,34.0,6.0,12.0,78.0,9.0,4.0,0.0
3222,Abrantes,501.0,1012.7873638888888,11.129531471306471,12.88241758241758,159.3,1.7505494505494508,2021,2,7,6.2166061010848646,1167.8,1.0,0.0,1.0,5.0,2.0,10.0,7.0,0.0,19.0,22.0,10.0,6.0,47.0,12.0,10.0,1.0
3224,Constância,495.0,945.6808916666666,10.39209771062271,11.849450549450548,296.9,3.2626373626373626,2021,2,7,6.20455776256869,1242.4,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,9.0,5.0,3.0,1.0,7.0,2.0,3.0,0.0
3225,Entroncamento,654.0,1040.1608277777775,11.430338766788768,12.31098901098901,144.20000000000002,1.5846153846153848,2021,2,7,6.483107351457199,1212.1,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,12.0,1.0,0.0,1.0
3226,Ferreira do Zêzere,565.0,1022.6464166666668,11.23787271062271,13.23846153846154,184.2,2.024175824175824,2021,2,7,6.336825731146441,1018.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0
3227,Mação,278.0,1035.4419138888888,11.37848257020757,11.427472527472528,180.1,1.979120879120879,2021,2,7,5.627621113690637,939.5,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,6.0,3.0,1.0,2.0,5.0,4.0,2.0,0.0
3229,Sardoal,334.0,1033.1017527777778,11.352766514041514,12.032967032967033,176.2,1.936263736263736,2021,2,7,5.811140992976701,874.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
3230,Tomar,723.0,1009.3982416666666,11.09228836996337,15.15824175824176,150.5,1.6538461538461535,2021,2,7,6.583409222158765,1093.3,1.0,0.0,1.0,3.0,3.0,9.0,3.0,2.0,13.0,12.0,5.0,3.0,49.0,12.0,5.0,1.0
3231,Torres Novas,647.0,1035.1783138888889,11.375585866910866,12.054945054945057,167.6,1.8417582417582417,2021,2,7,6.472346294500901,1145.3,1.0,0.0,3.0,4.0,4.0,28.0,4.0,1.0,19.0,14.0,4.0,3.0,47.0,9.0,4.0,2.0
3232,Vila Nova da Barquinha,673.0,1040.1608277777775,11.430338766788768,12.31098901098901,144.20000000000002,1.5846153846153848,2021,2,7,6.511745329644728,968.6,1.0,0.0,0.0,3.0,2.0,6.0,3.0,0.0,8.0,4.0,3.0,2.0,9.0,4.0,3.0,0.0
3233,Almeirim,729.0,825.9056777777778,9.075886568986569,8.076923076923077,668.8,7.349450549450549,2021,2,7,6.591673732008658,1037.7,1.0,3.0,2.0,3.0,3.0,13.0,5.0,2.0,7.0,10.0,6.0,5.0,28.0,2.0,6.0,1.0
3234,Alpiarça,588.0,1047.3493944444444,11.509334004884003,10.157142857142857,183.5,2.0164835164835164,2021,2,7,6.376726947898627,1015.7,0.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,2.0,5.0,2.0,2.0,13.0,0.0,2.0,0.0
3235,Azambuja,948.0,1053.1078083333334,11.57261327838828,14.131868131868131,130.0,1.4285714285714286,2021,2,7,6.854354502255021,1128.5,0.0,0.0,1.0,4.0,2.0,13.0,5.0,3.0,2.0,14.0,8.0,6.0,44.0,5.0,2.0,0.0
3236,Benavente,935.0,1025.456836111111,11.26875644078144,11.48791208791209,99.6,1.0945054945054944,2021,2,7,6.840546529288687,1189.2,1.0,0.0,0.0,4.0,0.0,14.0,3.0,2.0,4.0,8.0,5.0,2.0,29.0,3.0,2.0,0.0
3237,Cartaxo,773.0,1038.7477361111112,11.414810286935287,12.691208791208792,157.6,1.7318681318681317,2021,2,7,6.650279048587422,1100.4,0.0,0.0,0.0,2.0,0.0,12.0,3.0,0.0,3.0,12.0,4.0,5.0,30.0,6.0,2.0,0.0
3238,Chamusca,474.0,1053.913161111111,11.581463308913309,12.257142857142858,167.7,1.8428571428571427,2021,2,7,6.161207321695077,1051.0,0.0,1.0,2.0,2.0,3.0,12.0,7.0,0.0,13.0,22.0,11.0,5.0,46.0,12.0,7.0,2.0
3239,Coruche,722.0,1039.617502777778,11.424368162393163,11.036263736263736,170.7,1.875824175824176,2021,2,7,6.582025138892826,1070.9,0.0,0.0,1.0,3.0,0.0,20.0,1.0,0.0,9.0,8.0,8.0,5.0,33.0,1.0,0.0,1.0
3241,Rio Maior,778.0,1026.2178444444444,11.27711916971917,16.28901098901099,171.1,1.88021978021978,2021,2,7,6.656726524178391,1129.6,2.0,0.0,1.0,2.0,2.0,11.0,2.0,3.0,5.0,11.0,2.0,3.0,49.0,1.0,2.0,1.0
3242,Salvaterra de Magos,954.0,1057.3488333333332,11.619217948717948,12.547252747252749,164.7,1.8098901098901097,2021,2,7,6.860663671448287,1044.6,1.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,4.0,4.0,3.0,2.0,17.0,2.0,0.0,0.0
3243,Santarém,793.0,1043.0197222222223,11.46175518925519,9.81098901098901,173.6,1.907692307692308,2021,2,7,6.675823221634848,1152.1,1.0,14.0,3.0,9.0,3.0,36.0,8.0,2.0,12.0,21.0,10.0,6.0,81.0,5.0,9.0,1.0
3244,Amadora,1743.0,1071.8927,11.77904065934066,14.187912087912087,120.8,1.3274725274725274,2021,2,7,7.463363045520021,1567.3,1.0,3.0,1.0,5.0,7.0,45.0,8.0,10.0,3.0,69.0,17.0,12.0,108.0,9.0,10.0,2.0
3245,Cascais,2851.0,1082.2454,11.892806593406592,15.093406593406591,119.8,1.3164835164835165,2021,2,7,7.955425088912672,1293.7,2.0,3.0,3.0,6.0,7.0,61.0,6.0,29.0,17.0,58.0,19.0,15.0,171.0,11.0,6.0,5.0
3246,Lisboa,3347.0,1088.5320111111112,11.961890231990232,12.737362637362637,121.8,1.3384615384615384,2021,2,7,8.115819701211327,1752.0,14.0,16.0,15.0,25.0,39.0,189.0,88.0,55.0,109.0,351.0,74.0,69.0,431.0,103.0,77.0,53.0
3247,Loures,1888.0,1082.1702083333332,11.89198031135531,16.075824175824177,118.2,1.298901098901099,2021,2,7,7.543273346705446,1285.4,2.0,1.0,1.0,15.0,6.0,121.0,12.0,23.0,11.0,87.0,18.0,25.0,190.0,12.0,14.0,3.0
3248,Mafra,1614.0,1058.9458555555557,11.636767643467644,17.325274725274724,159.1,1.7483516483516484,2021,2,7,7.3864708488298945,1111.7,1.0,0.0,1.0,3.0,1.0,28.0,4.0,4.0,9.0,23.0,7.0,6.0,64.0,13.0,4.0,1.0
3250,Oeiras,2467.0,1082.2454,11.892806593406592,15.093406593406591,119.8,1.3164835164835165,2021,2,7,7.810758116529357,1901.3,2.0,0.0,3.0,6.0,8.0,66.0,5.0,12.0,11.0,58.0,18.0,15.0,123.0,11.0,16.0,10.0
3251,Sintra,1473.0,1056.1289472222222,11.605812606837606,16.751648351648353,173.5,1.9065934065934067,2021,2,7,7.29505641646263,1294.0,4.0,2.0,2.0,11.0,11.0,118.0,11.0,23.0,22.0,87.0,22.0,21.0,225.0,20.0,17.0,7.0
3252,Vila Franca de Xira,1429.0,1082.838,11.89931868131868,14.103296703296705,110.7,1.2164835164835166,2021,2,7,7.264730177929867,1315.6,0.0,0.0,1.0,11.0,6.0,50.0,7.0,11.0,10.0,39.0,11.0,12.0,100.0,11.0,3.0,1.0
3253,Alcochete,1661.0,1088.2446861111112,11.958732814407815,13.252747252747254,133.3,1.464835164835165,2021,2,7,7.415175109613295,2006.6,1.0,0.0,1.0,2.0,2.0,21.0,4.0,9.0,7.0,17.0,5.0,4.0,34.0,7.0,3.0,0.0
3254,Almada,1838.0,1088.5320111111112,11.961890231990232,12.737362637362637,121.8,1.3384615384615384,2021,2,7,7.516433302915632,1219.6,3.0,3.0,1.0,6.0,4.0,82.0,10.0,31.0,21.0,60.0,14.0,12.0,111.0,28.0,10.0,10.0
3255,Barreiro,1162.0,1095.5489583333333,12.03899954212454,12.910989010989011,148.5,1.6318681318681318,2021,2,7,7.057897937411856,1192.2,2.0,0.0,1.0,2.0,1.0,35.0,5.0,11.0,3.0,37.0,10.0,8.0,75.0,9.0,5.0,1.0
3259,Seixal,1410.0,1095.5489583333333,12.03899954212454,12.910989010989011,148.5,1.6318681318681318,2021,2,7,7.251344983372214,1408.7,1.0,0.0,2.0,6.0,3.0,75.0,6.0,16.0,6.0,41.0,12.0,13.0,108.0,11.0,8.0,3.0
3260,Sesimbra,1503.0,1110.9925333333333,12.208709157509157,18.685714285714287,92.7,1.0186813186813186,2021,2,7,7.315218389752975,1061.5,1.0,0.0,0.0,2.0,2.0,25.0,5.0,5.0,5.0,8.0,9.0,5.0,39.0,1.0,3.0,0.0
3261,Setúbal,1325.0,1073.529602777778,11.797028601953604,13.732967032967034,141.3,1.5527472527472528,2021,2,7,7.1891677384203225,1290.7,2.0,0.0,2.0,5.0,7.0,35.0,4.0,5.0,12.0,41.0,15.0,9.0,82.0,7.0,13.0,1.0
3262,Alcácer do Sal,941.0,1065.988811111111,11.71416275946276,11.972527472527473,143.8,1.5802197802197804,2021,2,7,6.846943139585379,1082.9,1.0,0.0,2.0,3.0,0.0,9.0,2.0,0.0,6.0,8.0,8.0,5.0,27.0,4.0,2.0,0.0
3263,Grândola,1453.0,1097.8310583333334,12.064077564102565,13.052747252747253,153.9,1.6912087912087912,2021,2,7,7.2813856635702825,1143.8,2.0,0.0,2.0,3.0,1.0,11.0,4.0,0.0,6.0,15.0,9.0,5.0,41.0,5.0,3.0,1.0
3264,Odemira,1101.0,1088.452975,11.961021703296703,13.015384615384615,94.3,1.036263736263736,2021,2,7,7.00397413672268,974.8,2.0,0.0,1.0,4.0,0.0,12.0,1.0,1.0,0.0,15.0,11.0,11.0,58.0,7.0,0.0,0.0
3265,Santiago do Cacém,1016.0,1098.648636111111,12.073061935286937,14.4989010989011,139.3,1.5307692307692309,2021,2,7,6.923628628138427,1104.2,0.0,0.0,2.0,5.0,1.0,12.0,3.0,0.0,5.0,15.0,7.0,6.0,37.0,2.0,1.0,1.0
3266,Sines,1333.0,1094.4338416666667,12.026745512820511,13.727472527472528,135.7,1.491208791208791,2021,2,7,7.195187320178709,1849.6,1.0,0.0,2.0,6.0,1.0,5.0,3.0,1.0,3.0,8.0,7.0,1.0,17.0,1.0,1.0,1.0
3267,Aljustrel,462.0,1076.6666916666666,11.831502106227106,10.897802197802198,116.2,1.276923076923077,2021,2,7,6.135564891081739,1278.8,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,5.0,4.0,2.0,2.0,12.0,1.0,2.0,0.0
3268,Almodôvar,481.0,1088.6372722222222,11.963046947496949,12.572527472527472,76.1,0.8362637362637362,2021,2,7,6.175867270105761,978.5,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,1.0,13.0,0.0,0.0,0.0
3269,Alvito,814.9275862068965,1021.9977694444444,11.23074471916972,5.076923076923077,308.1,3.385714285714286,2021,2,7,6.703099258013473,1039.8,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0
3270,Beja,765.0,1063.8769083333334,11.690955036630037,11.231868131868133,107.0,1.175824175824176,2021,2,7,6.639875833826536,1182.2,2.0,0.0,1.0,2.0,1.0,8.0,3.0,3.0,13.0,12.0,6.0,3.0,42.0,3.0,2.0,2.0
3271,Castro Verde,578.0,1069.603325,11.753882692307691,12.491208791208791,88.5,0.9725274725274724,2021,2,7,6.359573868672378,2038.8,2.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0,4.0,2.0,2.0,21.0,1.0,1.0,0.0
3272,Cuba,579.0,1043.431111111111,11.466275946275946,13.60989010989011,178.9,1.965934065934066,2021,2,7,6.361302477572996,1083.3,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,3.0,2.0,9.0,2.0,1.0,0.0
3274,Mértola,500.0,1071.2122166666666,11.77156282051282,11.67142857142857,68.6,0.7538461538461538,2021,2,7,6.214608098422191,919.2,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,13.0,4.0,5.0,4.0,16.0,2.0,3.0,0.0
3275,Moura,569.0,1045.6242722222223,11.49037661782662,9.134065934065935,108.7,1.1945054945054945,2021,2,7,6.343880434126331,988.5,1.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,6.0,12.0,9.0,2.0,22.0,1.0,1.0,0.0
3276,Ourique,669.0,1072.8385305555555,11.789434401709402,11.64065934065934,103.7,1.1395604395604395,2021,2,7,6.505784060128229,971.2,2.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,2.0,7.0,4.0,3.0,32.0,3.0,0.0,0.0
3277,Serpa,495.0,1042.0322361111112,11.450903693528694,10.172527472527474,90.5,0.9945054945054944,2021,2,7,6.20455776256869,968.5,2.0,0.0,2.0,2.0,2.0,4.0,3.0,0.0,12.0,12.0,9.0,4.0,28.0,3.0,0.0,0.0
3278,Vidigueira,489.0,1053.1912277777778,11.573529975579977,11.667032967032968,108.7,1.1945054945054945,2021,2,7,6.192362489474872,1063.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0
3279,Alter do Chão,257.0,1029.105958333333,11.308856684981684,8.873626373626374,166.6,1.8307692307692307,2021,2,7,5.54907608489522,981.7,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,7.0,2.0,0.0,1.0
3280,Arronches,375.0,1037.674775,11.403019505494504,9.857142857142858,150.4,1.6527472527472529,2021,2,7,5.926926025970411,949.8,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,5.0,3.0,0.0,0.0
3281,Avis,488.0,1023.601575,11.248368956043956,9.785714285714286,153.4,1.6857142857142855,2021,2,7,6.1903154058531475,1039.7,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,7.0,2.0,2.0,14.0,0.0,0.0,0.0
3283,Castelo de Vide,408.0,1049.0528777777777,11.528053601953602,10.612087912087912,173.8,1.90989010989011,2021,2,7,6.0112671744041615,947.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0
3284,Crato,308.0,944.7294805555556,10.381642643467645,7.724175824175824,131.6,1.446153846153846,2021,2,7,5.730099782973574,910.8,1.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,4.0,4.0,3.0,9.0,2.0,2.0,1.0
3285,Elvas,576.0,1048.1288638888889,11.517899603174603,10.5,116.6,1.2813186813186812,2021,2,7,6.3561076606958915,1031.7,1.0,0.0,1.0,3.0,1.0,13.0,5.0,3.0,15.0,11.0,10.0,9.0,23.0,3.0,6.0,1.0
3286,Fronteira,454.0,917.5754944444444,10.083247191697192,8.393406593406594,30.4,0.334065934065934,2021,2,7,6.118097198041348,1010.3,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
3289,Monforte,318.0,1015.6981916666666,11.16151858974359,9.632967032967032,160.1,1.7593406593406593,2021,2,7,5.762051382780177,1074.2,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,1.0,6.0,2.0,0.0,0.0
3290,Nisa,289.0,1034.4876916666667,11.367996611721612,8.338461538461537,131.9,1.4494505494505494,2021,2,7,5.666426688112432,885.9,1.0,0.0,1.0,1.0,0.0,5.0,3.0,0.0,5.0,5.0,4.0,4.0,5.0,3.0,1.0,0.0
3291,Ponte de Sor,617.0,1034.1005694444443,11.363742521367522,11.986813186813189,178.4,1.9604395604395608,2021,2,7,6.424869023905388,1086.1,0.0,0.0,0.0,3.0,0.0,10.0,3.0,0.0,3.0,10.0,6.0,5.0,25.0,3.0,4.0,0.0
3292,Portalegre,627.0,1029.105958333333,11.308856684981684,8.873626373626374,166.6,1.8307692307692307,2021,2,7,6.440946540632921,1101.8,11.0,11.0,6.0,30.0,10.0,62.0,30.0,8.0,78.0,107.0,65.0,44.0,221.0,31.0,28.0,16.0
3293,Sousel,331.0,1024.0943083333334,11.253783608058608,9.556043956043956,142.5,1.565934065934066,2021,2,7,5.802118375377063,1023.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,13.0,0.0,0.0,0.0
3294,Alandroal,459.0,1046.202647222222,11.496732387057389,9.209890109890113,139.9,1.5373626373626377,2021,2,7,6.129050210060545,1020.1,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,6.0,5.0,7.0,3.0,15.0,1.0,0.0,0.0
3296,Borba,482.0,1033.2148805555555,11.354009676434677,11.367032967032968,145.6,1.6,2021,2,7,6.1779441140506,1016.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,14.0,0.0,2.0,0.0
3297,Estremoz,605.0,1032.0360444444443,11.341055433455434,10.897802197802198,145.7,1.601098901098901,2021,2,7,6.405228458030842,1050.4,2.0,0.0,1.0,3.0,0.0,8.0,2.0,1.0,8.0,10.0,8.0,3.0,29.0,1.0,1.0,0.0
3298,Évora,1316.0,1049.6944944444444,11.535104334554337,11.861538461538462,157.1,1.7263736263736262,2021,2,7,7.182352111885263,1215.6,3.0,0.0,5.0,2.0,2.0,27.0,7.0,1.0,13.0,22.0,11.0,8.0,53.0,4.0,4.0,9.0
3300,Mora,460.0,1050.3902138888889,11.542749603174602,10.805494505494504,106.0,1.164835164835165,2021,2,7,6.131226489483141,1028.8,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0,4.0,1.0,6.0,0.0,0.0,0.0
3302,Portel,322.0,817.9583638888889,8.98855344932845,6.2846153846153845,810.0,8.901098901098901,2021,2,7,5.7745515455444085,1026.5,2.0,1.0,2.0,4.0,0.0,6.0,3.0,1.0,8.0,8.0,4.0,3.0,20.0,2.0,1.0,1.0
3304,Reguengos de Monsaraz,596.0,1054.2148333333334,11.584778388278387,10.2010989010989,117.8,1.2945054945054946,2021,2,7,6.39024066706535,1059.3,1.0,1.0,1.0,2.0,0.0,3.0,4.0,1.0,7.0,6.0,3.0,2.0,14.0,0.0,1.0,1.0
3305,Vendas Novas,868.0,1043.4956166666666,11.466984798534796,11.812087912087913,151.1,1.6604395604395603,2021,2,7,6.7661917146603505,1080.5,1.0,0.0,0.0,2.0,0.0,9.0,3.0,0.0,1.0,4.0,3.0,1.0,15.0,4.0,1.0,0.0
3306,Viana do Alentejo,546.0,1033.969452777778,11.36230167887668,9.943956043956044,139.9,1.5373626373626377,2021,2,7,6.302618975744905,968.2,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0
3307,Vila Viçosa,553.0,1025.404811111111,11.268184737484736,10.692307692307692,155.2,1.7054945054945054,2021,2,7,6.315358001522335,1119.1,1.0,0.0,0.0,3.0,0.0,6.0,1.0,1.0,4.0,6.0,6.0,4.0,14.0,1.0,3.0,0.0
3308,Albufeira,2090.0,1102.5150416666668,12.11554990842491,14.163736263736263,65.10000000000001,0.7153846153846155,2021,2,7,7.644919344958857,1092.3,2.0,0.0,0.0,1.0,1.0,16.0,2.0,6.0,4.0,18.0,9.0,7.0,44.0,7.0,2.0,0.0
3309,Alcoutim,517.0,1072.0938777777778,11.781251404151403,11.775824175824177,68.5,0.7527472527472527,2021,2,7,6.248042874508429,925.5,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,6.0,2.0,3.0,2.0,6.0,1.0,0.0,0.0
3310,Aljezur,1859.0,1112.5936833333333,12.226304212454211,18.81978021978022,72.4,0.7956043956043957,2021,2,7,7.527793987721444,970.6,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0,4.0,3.0,3.0,13.0,0.0,0.0,0.0
3312,Faro,1695.0,1102.4337194444445,12.11465625763126,12.657142857142857,66.4,0.7296703296703297,2021,2,7,7.43543801981455,1257.8,4.0,0.0,4.0,5.0,3.0,29.0,5.0,6.0,10.0,21.0,7.0,7.0,53.0,8.0,6.0,3.0
3313,Lagoa,1889.0,2220.374672222222,12.199860836385836,13.679120879120878,155.2,0.8527472527472527,2021,2,7,7.543802867501509,1113.2,0.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,2.0,11.0,2.0,3.0,15.0,5.0,2.0,0.0
3314,Lagoa,1889.0,2220.374672222222,12.199860836385836,13.679120879120878,155.2,0.8527472527472527,2021,2,7,7.543802867501509,980.7,0.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,2.0,11.0,2.0,3.0,15.0,5.0,2.0,0.0
3315,Lagos,2126.0,819.8231166666667,9.009045238095238,12.551648351648351,269.2,2.958241758241758,2021,2,7,7.661997558901893,1056.6,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,10.0,5.0,6.0,32.0,5.0,2.0,0.0
3316,Loulé,2391.0,1081.4255888888888,11.88379768009768,14.87142857142857,113.4,1.2461538461538462,2021,2,7,7.779466967458324,1114.2,4.0,0.0,4.0,6.0,4.0,47.0,7.0,7.0,19.0,35.0,13.0,16.0,95.0,14.0,9.0,4.0
3317,Monchique,721.0,1101.5983111111111,12.105475946275948,14.006593406593405,100.1,1.1,2021,2,7,6.580639137284949,933.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0
3320,São Brás de Alportel,1335.0,1077.296025,11.838417857142858,14.793406593406594,123.9,1.3615384615384616,2021,2,7,7.19668657083435,1032.4,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,4.0,2.0,1.0,1.0,13.0,3.0,2.0,0.0
3321,Silves,1533.0,1088.342102777778,11.959803327228329,14.67142857142857,87.2,0.9582417582417584,2021,2,7,7.334981878871814,1050.4,3.0,1.0,1.0,6.0,1.0,35.0,5.0,5.0,11.0,36.0,13.0,16.0,68.0,16.0,5.0,0.0
3322,Tavira,2046.0,1077.3158277777777,11.83863547008547,13.235164835164836,67.89999999999999,0.7461538461538461,2021,2,7,7.6236419465115715,1007.4,3.0,0.0,1.0,2.0,0.0,22.0,2.0,2.0,12.0,16.0,7.0,6.0,30.0,13.0,3.0,0.0
3323,Vila do Bispo,1797.0,1119.806938888889,12.305570757020757,20.00989010989011,61.7,0.6780219780219781,2021,2,7,7.493873886783559,1010.2,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,3.0,2.0,3.0,6.0,0.0,0.0,0.0
3324,Vila Real de Santo António,1784.0,1070.758038888889,11.766571855921857,13.68131868131868,53.7,0.5901098901098901,2021,2,7,7.486613313139955,1027.2,2.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,10.0,8.0,5.0,21.0,6.0,3.0,0.0
3325,Angra do Heroísmo,754.0,962.4425722222222,10.576292002442004,13.337362637362638,458.3,5.036263736263736,2021,2,7,6.625392368007956,1133.9,1.0,0.0,1.0,5.0,1.0,4.0,2.0,2.0,14.0,11.0,5.0,3.0,42.0,1.0,4.0,1.0
3329,Lagoa,845.0,2220.374672222222,12.199860836385836,13.679120879120878,155.2,0.8527472527472527,2021,2,7,6.739336627357174,1113.2,0.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,2.0,11.0,2.0,3.0,15.0,5.0,2.0,0.0
