,municipality,house_price,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,year,quarter_num,quarter_ord,log_price_sqm,avg_income,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university
43,Montalegre,687.0,449.6940388888889,4.887978683574879,11.802173913043475,1195.3,12.992391304347825,2023,4,17,6.532334292222349,1054.8,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,7.0,8.0,4.0,4.0,13.0,2.0,1.0,0.0
44,Ribeira de Pena,435.0,493.240575,5.361310597826087,9.725,1052.3,11.43804347826087,2023,4,17,6.075346031088684,1206.7,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,9.0,0.0,0.0,0.0
45,Valpaços,570.0,525.550075,5.712500815217391,5.881521739130435,361.1,3.925,2023,4,17,6.345636360828596,1006.7,1.0,1.0,3.0,5.0,5.0,16.0,3.0,1.0,11.0,25.0,10.0,6.0,44.0,4.0,1.0,2.0
46,Vila Pouca de Aguiar,569.0,502.92784166666667,5.466606974637681,10.979347826086956,676.7,7.355434782608696,2023,4,17,6.343880434126331,1061.5,0.0,0.0,1.0,2.0,0.0,8.0,1.0,0.0,2.0,4.0,3.0,3.0,11.0,1.0,1.0,0.0
49,Castelo de Paiva,916.0,548.1580333333334,5.958239492753624,11.195652173913045,760.2,8.26304347826087,2023,4,17,6.82001636467413,1077.4,0.0,0.0,1.0,2.0,2.0,12.0,1.0,0.0,2.0,6.0,2.0,4.0,26.0,0.0,3.0,0.0
50,Celorico de Basto,686.0,511.7940972222222,5.56297931763285,10.45,970.3,10.546739130434784,2023,4,17,6.530877627725885,1015.3,0.0,0.0,1.0,2.0,1.0,16.0,4.0,1.0,5.0,9.0,2.0,2.0,30.0,3.0,0.0,0.0
51,Cinfães,593.0,529.5754166666667,5.756254528985507,9.681521739130435,842.1,9.153260869565218,2023,4,17,6.385194398997726,1080.7,0.0,0.0,1.0,3.0,5.0,6.0,0.0,0.0,1.0,9.0,5.0,2.0,47.0,1.0,3.0,0.0
52,Felgueiras,931.0,511.7940972222222,5.56297931763285,10.45,970.3,10.546739130434784,2023,4,17,6.836259277277067,1096.3,0.0,0.0,1.0,2.0,1.0,16.0,3.0,2.0,1.0,13.0,3.0,4.0,62.0,2.0,1.0,1.0
53,Lousada,1000.0,518.166575,5.632245380434783,11.060869565217391,967.3,10.514130434782608,2023,4,17,6.907755278982137,1076.2,0.0,0.0,1.0,2.0,2.0,11.0,1.0,0.0,1.0,7.0,1.0,1.0,52.0,5.0,0.0,0.0
54,Marco de Canaveses,918.0,531.1563833333333,5.773438949275362,10.433695652173911,819.3,8.905434782608696,2023,4,17,6.822197390620491,1087.3,2.0,0.0,3.0,5.0,6.0,23.0,2.0,3.0,3.0,13.0,7.0,3.0,109.0,13.0,2.0,1.0
55,Paços de Ferreira,1010.0,525.7857444444444,5.715062439613526,12.483695652173912,893.1,9.707608695652176,2023,4,17,6.917705609835305,1104.1,1.0,0.0,1.0,2.0,0.0,7.0,0.0,2.0,3.0,7.0,3.0,3.0,36.0,2.0,1.0,0.0
57,Resende,438.0,867.5681388888889,9.430088466183577,5.836956521739131,394.1,4.283695652173913,2023,4,17,6.082218910376446,1021.3,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,11.0,5.0,3.0,0.0
58,Alijó,482.0,514.4008833333334,5.591313949275363,7.616304347826087,547.8,5.9543478260869565,2023,4,17,6.1779441140506,1107.7,0.0,0.0,1.0,5.0,2.0,6.0,1.0,0.0,1.0,7.0,3.0,3.0,22.0,3.0,4.0,0.0
59,Armamar,400.0,513.1703944444445,5.577939070048309,7.2923913043478255,453.9,4.933695652173912,2023,4,17,5.991464547107982,1070.8,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
60,Carrazeda de Ansiães,322.0,509.0902638888889,5.533589824879227,8.166304347826086,324.7,3.529347826086956,2023,4,17,5.7745515455444085,1012.8,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,9.0,6.0,0.0,0.0
62,Mesão Frio,1034.1845637583892,517.5211972222222,5.625230404589372,6.178260869565217,487.1,5.2945652173913045,2023,4,17,6.941368534070794,1029.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,7.0,4.0,0.0,0.0
64,Murça,424.0,497.7955083333333,5.410820742753623,7.709782608695652,376.7,4.094565217391304,2023,4,17,6.049733455231958,1150.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,15.0,1.0,3.0,0.0
66,Sabrosa,427.0,514.4008833333334,5.591313949275363,7.616304347826087,547.8,5.9543478260869565,2023,4,17,6.056784013228625,1180.7,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,2.0,21.0,3.0,1.0,0.0
67,Santa Marta de Penaguião,1034.1845637583892,516.4990944444445,5.61412059178744,6.6510869565217385,442.4,4.808695652173912,2023,4,17,6.941368534070794,1030.8,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,22.0,0.0,1.0,0.0
70,Tabuaço,226.0,524.5272555555556,5.701383212560387,8.755434782608695,387.3,4.209782608695653,2023,4,17,5.420534999272286,1152.5,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0
71,Tarouca,687.0,512.5126277777778,5.57078943236715,9.940217391304348,456.6,4.96304347826087,2023,4,17,6.532334292222349,1074.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,5.0,1.0,2.0,9.0,0.0,0.0,0.0
72,Torre de Moncorvo,306.0,567.4763388888889,6.168221074879227,6.632608695652174,271.0,2.9456521739130435,2023,4,17,5.723585101952381,1036.1,2.0,0.0,2.0,4.0,0.0,13.0,2.0,0.0,9.0,8.0,6.0,4.0,14.0,3.0,4.0,1.0
73,Vila Nova de Foz Côa,313.0,550.5465361111111,5.984201479468599,7.192391304347827,293.2,3.1869565217391305,2023,4,17,5.746203190540153,1097.8,3.0,0.0,3.0,3.0,0.0,5.0,3.0,0.0,9.0,7.0,4.0,9.0,9.0,6.0,4.0,1.0
74,Vila Real,1271.0,728.9680527777778,7.923565791062802,8.505434782608695,25.2,0.2739130434782608,2023,4,17,7.147559271189454,1308.6,4.0,6.0,21.0,33.0,17.0,91.0,25.0,11.0,66.0,103.0,47.0,51.0,302.0,35.0,19.0,4.0
75,Alfândega da Fé,331.0,552.0471305555556,6.000512288647343,7.390217391304348,349.9,3.803260869565217,2023,4,17,5.802118375377063,1002.3,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0
76,Bragança,899.0,545.3417166666667,5.927627355072464,10.180434782608696,415.5,4.516304347826087,2023,4,17,6.80128303447162,1236.4,4.0,0.0,8.0,18.0,11.0,42.0,14.0,1.0,53.0,64.0,36.0,27.0,155.0,21.0,12.0,7.0
79,Mirandela,750.0,516.8031805555555,5.617425875603864,5.96304347826087,366.4,3.9826086956521736,2023,4,17,6.620073206530356,1135.7,0.0,0.0,2.0,3.0,3.0,12.0,2.0,0.0,4.0,12.0,5.0,4.0,24.0,2.0,0.0,1.0
80,Mogadouro,350.0,552.1133833333333,6.001232427536232,10.983695652173912,271.6,2.9521739130434783,2023,4,17,5.857933154483459,1045.9,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,2.0,6.0,4.0,4.0,16.0,1.0,1.0,0.0
81,Vila Flor,330.0,547.2837972222222,5.948736926328502,7.0989130434782615,287.9,3.1293478260869563,2023,4,17,5.799092654460526,1106.8,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,10.0,0.0,1.0,0.0
82,Vinhais,442.0,496.39358888888887,5.395582487922705,9.47608695652174,544.8,5.921739130434782,2023,4,17,6.091309882077698,998.2,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,2.0,2.0,11.0,0.0,1.0,0.0
84,Albergaria-a-Velha,1045.0,554.8934777777778,6.031450845410628,10.377173913043478,829.9,9.020652173913044,2023,4,17,6.951772164398911,1349.1,1.0,0.0,2.0,4.0,1.0,32.0,3.0,3.0,6.0,22.0,6.0,15.0,75.0,15.0,6.0,2.0
86,Aveiro,1912.0,581.9792416666667,6.325861322463768,13.255434782608695,575.2,6.252173913043479,2023,4,17,7.555905093611346,1517.8,1.0,1.0,5.0,8.0,3.0,38.0,4.0,10.0,14.0,41.0,12.0,22.0,120.0,14.0,7.0,8.0
