,municipality,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,windy_days,rainy_days,sunny_days,warm_days,quarter_num,quarter_ord,avg_income,people/km2,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,5 - 9,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 ou mais,Menos de 5,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,log_price_sqm
28,Matosinhos,547.2973472222222,5.948884208937199,14.93913043478261,710.5,7.7228260869565215,3,55,42,9,4,17,1600.8,2876.6,7866.0,8484.0,9096.0,9285.0,10376.0,10812.0,12346.0,13790.0,7507.0,13590.0,13080.0,13189.0,12354.0,11215.0,8747.0,5679.0,5344.0,6798.0,3.0,4.0,3.0,8.0,9.0,54.0,7.0,22.0,20.0,61.0,13.0,19.0,127.0,44.0,12.0,23.0,7.820439515262181
29,Oliveira de Azeméis,540.2306416666667,5.872072192028986,11.280434782608696,994.9,10.814130434782609,1,56,44,4,4,17,1368.8,417.6,2784.0,3000.0,3583.0,3629.0,3605.0,3967.0,4289.0,5046.0,2571.0,5253.0,5301.0,5334.0,4795.0,3947.0,3279.0,2237.0,2330.0,2327.0,4.0,1.0,8.0,9.0,5.0,38.0,7.0,6.0,12.0,27.0,6.0,21.0,108.0,12.0,12.0,3.0,6.907755278982137
30,Paredes,619.3597055555556,6.732170712560387,13.07391304347826,182.5,1.983695652173913,2,39,43,0,4,17,1136.5,548.7,4244.0,4880.0,5454.0,5223.0,4991.0,5208.0,6162.0,7179.0,3710.0,7214.0,6844.0,6043.0,4936.0,3920.0,2982.0,1870.0,1609.0,3546.0,0.0,0.0,1.0,9.0,2.0,29.0,3.0,4.0,4.0,18.0,7.0,9.0,89.0,14.0,5.0,2.0,6.985641817639208
31,Porto,547.2973472222222,5.948884208937199,14.93913043478261,710.5,7.7228260869565215,3,55,42,7,4,17,1761.4,6006.0,10018.0,10492.0,12927.0,15823.0,17720.0,16265.0,15996.0,16946.0,9700.0,15985.0,16323.0,16663.0,15970.0,15027.0,13184.0,9008.0,10734.0,9988.0,8.0,11.0,11.0,8.0,20.0,72.0,20.0,39.0,72.0,119.0,36.0,30.0,213.0,53.0,24.0,43.0,7.960672608388117
32,Póvoa de Varzim,545.099375,5.924993206521739,14.669565217391304,827.9,8.998913043478261,3,57,44,8,4,17,1228.5,821.4,3298.0,3614.0,3989.0,3945.0,3950.0,4077.0,4677.0,5291.0,2739.0,5252.0,4879.0,4639.0,4216.0,3780.0,3027.0,1841.0,1649.0,2662.0,0.0,0.0,0.0,3.0,5.0,22.0,4.0,8.0,6.0,14.0,5.0,2.0,49.0,4.0,3.0,3.0,7.459914766241105
34,Santo Tirso,531.8926611111111,5.781441968599034,12.427173913043475,810.9,8.814130434782609,2,56,44,3,4,17,1264.1,496.7,2575.0,2921.0,3580.0,3608.0,3480.0,3815.0,4424.0,5064.0,2435.0,5086.0,5484.0,5391.0,4861.0,4677.0,3483.0,2360.0,2306.0,2276.0,1.0,0.0,2.0,7.0,4.0,20.0,1.0,8.0,6.0,29.0,9.0,10.0,95.0,10.0,3.0,0.0,7.071573364211532
35,São João da Madeira,541.1288916666666,5.881835778985507,12.122826086956522,936.1,10.175,2,55,43,3,4,17,1321.5,3005.4,1078.0,1143.0,1289.0,1365.0,1434.0,1467.0,1661.0,1821.0,946.0,1766.0,1794.0,1768.0,1611.0,1343.0,1033.0,729.0,797.0,818.0,2.0,0.0,1.0,3.0,2.0,7.0,1.0,3.0,2.0,6.0,2.0,5.0,26.0,4.0,4.0,0.0,6.988413181999592
37,Vale de Cambra,541.1288916666666,5.881835778985507,12.122826086956522,936.1,10.175,2,55,43,3,4,17,1367.5,144.2,816.0,891.0,1016.0,1033.0,1040.0,1134.0,1363.0,1541.0,721.0,1564.0,1569.0,1623.0,1638.0,1504.0,1252.0,907.0,953.0,686.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,7.0,2.0,3.0,48.0,2.0,5.0,0.0,7.066466970136958
38,Valongo,535.6684305555556,5.822482940821256,12.833695652173914,830.0,9.021739130434783,2,55,41,3,4,17,1308.4,1333.4,4630.0,5168.0,5553.0,5629.0,6195.0,6390.0,7518.0,8421.0,4428.0,7682.0,7197.0,6704.0,6093.0,5348.0,4150.0,2601.0,2356.0,4103.0,3.0,2.0,1.0,5.0,4.0,38.0,2.0,4.0,6.0,26.0,11.0,8.0,101.0,18.0,7.0,1.0,7.331714969726466
39,Vila do Conde,545.099375,5.924993206521739,14.669565217391304,827.9,8.998913043478261,3,57,44,7,4,17,1363.8,569.5,4143.0,4439.0,4553.0,4556.0,4748.0,5199.0,6348.0,6947.0,3769.0,6642.0,6113.0,5919.0,5202.0,4591.0,3593.0,2374.0,2309.0,3427.0,1.0,0.0,1.0,6.0,6.0,21.0,5.0,9.0,13.0,30.0,11.0,8.0,84.0,18.0,8.0,5.0,7.459338895220296
40,Vila Nova de Gaia,547.2973472222222,5.948884208937199,14.93913043478261,710.5,7.7228260869565215,3,55,42,5,4,17,1392.3,1847.5,14127.0,15257.0,16900.0,16349.0,17883.0,18242.0,21662.0,24662.0,12890.0,24340.0,23621.0,22364.0,20531.0,18209.0,14241.0,9027.0,8733.0,12185.0,6.0,4.0,6.0,10.0,9.0,73.0,17.0,25.0,49.0,80.0,24.0,20.0,207.0,38.0,16.0,15.0,7.5352967024440884
42,Chaves,495.3289916666666,5.384010778985507,8.55108695652174,479.1,5.207608695652175,0,54,33,1,4,17,1181.3,63.3,1377.0,1547.0,1749.0,1536.0,1562.0,1786.0,2094.0,2517.0,1234.0,2561.0,2753.0,3065.0,3164.0,2988.0,2571.0,1801.0,2096.0,1018.0,1.0,1.0,2.0,4.0,3.0,13.0,2.0,1.0,9.0,17.0,7.0,6.0,35.0,3.0,0.0,1.0,6.787844982309579
43,Montalegre,449.6940388888889,4.887978683574879,11.802173913043475,1195.3,12.992391304347825,0,58,35,0,4,17,1054.8,11.4,239.0,293.0,344.0,365.0,345.0,388.0,463.0,508.0,252.0,528.0,672.0,817.0,860.0,858.0,741.0,587.0,684.0,198.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,7.0,8.0,4.0,4.0,13.0,2.0,1.0,0.0,6.532334292222349
