Designação,COD (NUTS2024),muni_norm,quarter_label,price_sqm,year,quarter,avg_income_eur,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,temp_max_c_mean,temp_min_c_mean,sunshine_s_sum,wind_kmh_mean,precip_mm_sum,log_price_sqm,pop_10___14,pop_15___19,pop_20___24,pop_25___29,pop_30___34,pop_35___39,pop_40___44,pop_45___49,pop_5___9,pop_50___54,pop_55___59,pop_60___64,pop_65___69,pop_70___74,pop_75___79,pop_80___84,pop_85_ou_mais,pop_menos_de_5,pop_total,population_density_km2
Trofa,11A1318,TROFA,4ºT 2023,1279.0,2023,4,1342.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.425,11.18586956521739,1914813.58,12.427173913043475,810.9,7.153833801578843,1736.0,1924.0,2228.0,2373.0,2480.0,2572.0,2798.0,3076.0,1660.0,3131.0,3125.0,2855.0,2500.0,2199.0,1707.0,1057.0,1002.0,1574.0,39997.0,555.5
Vale de Cambra,11A0119,VALE DE CAMBRA,4ºT 2023,1172.0,2023,4,1367.5,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,7.0,2.0,3.0,48.0,2.0,5.0,0.0,17.275,11.105434782608697,1948064.01,12.122826086956522,936.1,7.066466970136958,816.0,891.0,1016.0,1033.0,1040.0,1134.0,1363.0,1541.0,721.0,1564.0,1569.0,1623.0,1638.0,1504.0,1252.0,907.0,953.0,686.0,21251.0,144.2
Valongo,11A1315,VALONGO,4ºT 2023,1528.0,2023,4,1308.4,3.0,2.0,1.0,5.0,4.0,38.0,2.0,4.0,6.0,26.0,11.0,8.0,101.0,18.0,7.0,1.0,17.618478260869566,10.722826086956522,1928406.35,12.833695652173914,830.0,7.331714969726466,4630.0,5168.0,5553.0,5629.0,6195.0,6390.0,7518.0,8421.0,4428.0,7682.0,7197.0,6704.0,6093.0,5348.0,4150.0,2601.0,2356.0,4103.0,100166.0,1333.4
Vila do Conde,11A1316,VILA DO CONDE,4ºT 2023,1736.0,2023,4,1363.8,1.0,0.0,1.0,6.0,6.0,21.0,5.0,9.0,13.0,30.0,11.0,8.0,84.0,18.0,8.0,5.0,18.175,11.768478260869566,1962357.75,14.669565217391304,827.9,7.459338895220296,4143.0,4439.0,4553.0,4556.0,4748.0,5199.0,6348.0,6947.0,3769.0,6642.0,6113.0,5919.0,5202.0,4591.0,3593.0,2374.0,2309.0,3427.0,84872.0,569.5
Vila Nova de Gaia,11A1317,VILA NOVA DE GAIA,4ºT 2023,1873.0,2023,4,1392.3,6.0,4.0,6.0,10.0,9.0,73.0,17.0,25.0,49.0,80.0,24.0,20.0,207.0,38.0,16.0,15.0,17.377173913043478,11.304347826086955,1984279.24,14.954347826086956,732.5,7.535296702444088,14127.0,15257.0,16900.0,16349.0,17883.0,18242.0,21662.0,24662.0,12890.0,24340.0,23621.0,22364.0,20531.0,18209.0,14241.0,9027.0,8733.0,12185.0,311223.0,1847.5
Boticas,11B1702,BOTICAS,4ºT 2023,471.0,2023,4,1051.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.115217391304348,8.253260869565217,1783184.37,8.55108695652174,479.1,6.154858094016418,162.0,186.0,186.0,159.0,176.0,218.0,290.0,314.0,132.0,294.0,349.0,401.0,461.0,431.0,362.0,295.0,340.0,129.0,4885.0,15.2
Chaves,11B1703,CHAVES,4ºT 2023,887.0,2023,4,1181.3,1.0,1.0,2.0,4.0,3.0,13.0,2.0,1.0,9.0,17.0,7.0,6.0,35.0,3.0,0.0,1.0,16.01521739130435,9.153260869565218,1783184.37,8.55108695652174,479.1,6.787844982309579,1377.0,1547.0,1749.0,1536.0,1562.0,1786.0,2094.0,2517.0,1234.0,2561.0,2753.0,3065.0,3164.0,2988.0,2571.0,1801.0,2096.0,1018.0,37419.0,63.3
Montalegre,11B1706,MONTALEGRE,4ºT 2023,687.0,2023,4,1054.8,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,7.0,8.0,4.0,4.0,13.0,2.0,1.0,0.0,12.396739130434783,6.368478260869565,1618898.54,11.802173913043475,1195.3,6.532334292222349,239.0,293.0,344.0,365.0,345.0,388.0,463.0,508.0,252.0,528.0,672.0,817.0,860.0,858.0,741.0,587.0,684.0,198.0,9142.0,11.4
Ribeira de Pena,11B1709,RIBEIRA DE PENA,4ºT 2023,435.0,2023,4,1206.7,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,9.0,0.0,0.0,0.0,15.746739130434785,8.258695652173913,1775666.07,9.725,1052.3,6.075346031088684,207.0,261.0,284.0,256.0,242.0,301.0,335.0,370.0,191.0,392.0,411.0,535.0,508.0,438.0,386.0,266.0,320.0,158.0,5861.0,27.0
Vila Pouca de Aguiar,11B1713,VILA POUCA DE AGUIAR,4ºT 2023,569.0,2023,4,1061.5,0.0,0.0,1.0,2.0,0.0,8.0,1.0,0.0,2.0,4.0,3.0,3.0,11.0,1.0,1.0,0.0,13.910869565217393,7.445652173913044,1810540.23,10.979347826086956,676.7,6.343880434126331,369.0,422.0,550.0,507.0,503.0,491.0,611.0,744.0,358.0,698.0,938.0,1086.0,1099.0,993.0,901.0,635.0,607.0,260.0,11772.0,26.9
