Designation,count,mean,std,min,25%,50%,75%,max
Sintra,22.0,1726.82,333.31,1213.0,1449.0,1719.5,1999.75,2297.0
Sobral de Monte Agraço,22.0,1052.45,192.0,843.0,899.0,993.5,1177.5,1628.0
Soure,22.0,629.73,49.98,556.0,599.25,618.5,666.5,742.0
Sousel,22.0,392.86,91.61,249.0,328.75,368.0,456.0,575.0
Sátão,22.0,489.0,51.88,429.0,455.0,473.5,504.75,639.0
São Brás de Alportel,22.0,1604.14,309.28,1179.0,1312.5,1624.0,1848.25,2079.0
São João da Madeira,22.0,997.95,174.38,795.0,853.75,945.0,1103.5,1400.0
São João da Pesqueira,22.0,345.91,39.37,286.0,312.25,349.0,364.5,420.0
São Pedro do Sul,22.0,751.23,68.38,641.0,685.25,772.0,801.5,842.0
São Roque do Pico,22.0,953.82,187.92,666.0,793.01,913.5,1158.0,1207.0
São Vicente,22.0,987.43,133.96,737.69,892.0,1024.0,1071.0,1222.0
Tabuaço,22.0,517.07,222.6,226.0,325.0,464.5,767.21,830.73
Tarouca,22.0,593.32,90.38,357.0,558.5,595.0,661.0,723.0
Tavira,22.0,2344.64,377.64,1827.0,2047.25,2272.0,2748.25,2892.0
Terras de Bouro,22.0,750.45,114.44,545.0,652.5,757.0,841.0,956.0
Tomar,22.0,817.14,94.28,702.0,734.0,811.0,915.0,969.0
Tondela,22.0,610.91,48.92,534.0,577.5,612.0,640.5,692.0
Torre de Moncorvo,22.0,354.32,48.37,290.0,317.75,342.0,391.75,451.0
Torres Novas,22.0,734.36,91.31,626.0,652.25,706.0,811.25,917.0
Torres Vedras,22.0,1394.45,254.96,1001.0,1166.5,1434.0,1574.25,1830.0
Trancoso,22.0,316.27,68.1,203.0,282.75,310.0,356.0,435.0
Trofa,22.0,1136.05,221.44,815.0,932.25,1157.5,1290.0,1564.0
Tábua,22.0,580.14,39.71,506.0,565.0,580.0,603.5,669.0
Vagos,22.0,1141.91,232.58,854.0,895.75,1141.0,1373.25,1532.0
Vale de Cambra,22.0,946.09,161.8,699.0,801.5,965.0,1100.75,1177.0
Valença,22.0,794.5,123.6,627.0,684.5,745.5,909.5,1036.0
Valongo,22.0,1346.27,245.07,951.0,1165.5,1340.5,1522.75,1803.0
Valpaços,22.0,505.77,50.3,425.0,473.0,500.0,533.75,616.0
Velas,22.0,636.49,107.08,456.0,581.25,634.5,736.0,828.0
Vendas Novas,22.0,995.55,175.52,763.0,822.25,1032.5,1080.0,1334.0
Viana do Alentejo,22.0,589.86,87.34,459.0,527.5,571.0,657.75,741.0
Viana do Castelo,22.0,1215.09,202.11,940.0,1044.0,1232.5,1323.5,1627.0
Vidigueira,22.0,510.95,72.76,399.0,467.0,485.0,555.5,652.0
Vieira do Minho,22.0,609.18,46.54,523.0,576.0,614.5,635.5,706.0
Vila Flor,22.0,388.78,149.35,234.0,331.25,344.5,400.0,830.73
Vila Franca de Xira,22.0,1660.05,298.23,1204.0,1394.5,1653.5,1894.25,2194.0
Vila Franca do Campo,22.0,936.23,126.78,782.0,822.5,919.5,1061.5,1154.0
Vila Nova da Barquinha,22.0,836.5,160.69,673.0,700.5,772.0,988.75,1126.0
Vila Nova de Cerveira,22.0,811.68,106.44,633.0,722.25,841.0,887.5,959.0
Vila Nova de Famalicão,22.0,1121.32,177.38,867.0,971.25,1102.5,1253.25,1481.0
Vila Nova de Foz Côa,22.0,331.55,55.22,218.0,306.25,333.0,370.0,417.0
Vila Nova de Gaia,22.0,1579.09,351.74,1096.0,1285.25,1548.0,1857.0,2179.0
Vila Nova de Paiva,22.0,591.46,214.36,279.0,446.75,511.0,805.96,900.23
Vila Nova de Poiares,22.0,629.86,87.87,487.0,555.5,628.0,721.0,750.0
Vila Pouca de Aguiar,22.0,601.64,65.66,518.0,558.25,595.0,625.75,767.0
Vila Real,22.0,1126.45,165.66,875.0,953.25,1139.0,1296.5,1343.0
Vila Real de Santo António,22.0,2004.09,334.62,1559.0,1744.25,1938.0,2304.25,2627.0
Vila Velha de Ródão,22.0,296.59,61.94,219.0,258.75,289.5,321.0,459.0
Vila Verde,22.0,965.18,159.55,750.0,833.0,938.0,1082.0,1259.0
Vila Viçosa,22.0,585.23,63.88,482.0,553.25,584.5,639.0,708.0
Vila da Praia da Vitória,22.0,846.09,120.41,671.0,764.0,802.5,948.75,1115.0
Vila de Rei,22.0,422.32,62.81,300.0,389.0,414.5,460.5,521.0
Vila do Bispo,22.0,2315.09,588.21,1549.0,1753.5,2281.5,2919.75,3162.0
Vila do Conde,22.0,1516.05,274.91,1124.0,1283.75,1485.0,1729.75,1975.0
Vila do Porto,22.0,931.92,199.87,650.0,741.5,876.5,1098.75,1306.0
Vinhais,22.0,385.77,63.31,250.0,352.25,392.0,423.75,499.0
Viseu,22.0,1097.59,123.19,922.0,991.0,1100.0,1181.0,1354.0
Vizela,22.0,975.18,101.43,763.0,945.75,985.0,1061.25,1111.0
Vouzela,22.0,510.91,81.94,409.0,445.0,498.5,549.75,707.0
Águeda,22.0,858.23,110.82,709.0,751.75,867.0,969.5,1032.0
Évora,22.0,1567.14,259.93,1194.0,1317.5,1530.0,1852.5,1903.0
Ílhavo,22.0,1392.18,268.85,1047.0,1128.25,1391.5,1674.5,1798.0
Óbidos,22.0,1554.82,268.86,1195.0,1294.25,1575.5,1779.0,2032.0
