year,region,scope,education_level,symbol,unit,value
2019,Almodôvar,Município,09. Mestrado,, euros,1594.3
2019,Alpiarça,Município,01. Inferior ao 1.º ciclo,, euros,683.6
2019,Alpiarça,Município,02. Básico - 1º Ciclo,, euros,817.2
2019,Alpiarça,Município,03. Básico - 2º Ciclo,, euros,760.0
2019,Alpiarça,Município,04. Básico - 3º Ciclo,, euros,856.4
2019,Alpiarça,Município,05. Secundário,, euros,922.3
2019,Alpiarça,Município,07. Bacharelato,, euros,1262.6
2019,Alpiarça,Município,08. Licenciatura,, euros,1505.1
2019,Alpiarça,Município,09. Mestrado,, euros,1300.2
2019,Alter do Chão,Município,01. Inferior ao 1.º ciclo,, euros,745.1
2019,Alter do Chão,Município,02. Básico - 1º Ciclo,, euros,855.5
2019,Alter do Chão,Município,03. Básico - 2º Ciclo,, euros,805.7
2019,Alter do Chão,Município,04. Básico - 3º Ciclo,, euros,806.7
2019,Alter do Chão,Município,05. Secundário,, euros,909.5
2019,Alter do Chão,Município,07. Bacharelato,, euros,1708.0
2019,Alter do Chão,Município,08. Licenciatura,, euros,1198.2
2019,Alter do Chão,Município,09. Mestrado,, euros,1019.1
2019,Alvaiázere,Município,01. Inferior ao 1.º ciclo,, euros,716.8
2019,Alvaiázere,Município,02. Básico - 1º Ciclo,, euros,838.2
2019,Alvaiázere,Município,03. Básico - 2º Ciclo,, euros,907.8
2019,Alvaiázere,Município,04. Básico - 3º Ciclo,, euros,820.8
2019,Alvaiázere,Município,05. Secundário,, euros,873.8
2019,Alvaiázere,Município,07. Bacharelato,, euros,1102.2
2019,Alvaiázere,Município,08. Licenciatura,, euros,1178.4
2019,Alvaiázere,Município,09. Mestrado,, euros,1012.1
2019,Alvito,Município,02. Básico - 1º Ciclo,, euros,981.8
2019,Alvito,Município,03. Básico - 2º Ciclo,, euros,898.7
2019,Alvito,Município,04. Básico - 3º Ciclo,, euros,878.6
2019,Alvito,Município,05. Secundário,, euros,1016.9
2019,Alvito,Município,08. Licenciatura,, euros,1372.8
2019,Amadora,Município,01. Inferior ao 1.º ciclo,, euros,728.7
2019,Amadora,Município,02. Básico - 1º Ciclo,, euros,797.5
2019,Amadora,Município,03. Básico - 2º Ciclo,, euros,853.2
2019,Amadora,Município,04. Básico - 3º Ciclo,, euros,890.2
2019,Amadora,Município,05. Secundário,, euros,1189.3
2019,Amadora,Município,06. Curso técnico superior profissional,, euros,1016.3
2019,Amadora,Município,07. Bacharelato,, euros,2383.3
2019,Amadora,Município,08. Licenciatura,, euros,2319.7
2019,Amadora,Município,09. Mestrado,, euros,2170.3
2019,Amadora,Município,10. Doutoramento,, euros,2512.0
2019,Amarante,Município,01. Inferior ao 1.º ciclo,, euros,760.3
2019,Amarante,Município,02. Básico - 1º Ciclo,, euros,825.5
2019,Amarante,Município,03. Básico - 2º Ciclo,, euros,839.8
2019,Amarante,Município,04. Básico - 3º Ciclo,, euros,806.0
2019,Amarante,Município,05. Secundário,, euros,859.8
2019,Amarante,Município,06. Curso técnico superior profissional,, euros,914.8
2019,Amarante,Município,07. Bacharelato,, euros,1354.0
2019,Amarante,Município,08. Licenciatura,, euros,1388.6
2019,Amarante,Município,09. Mestrado,, euros,1242.3
2019,Amarante,Município,10. Doutoramento,, euros,635.9
2019,Amares,Município,01. Inferior ao 1.º ciclo,, euros,677.4
2019,Amares,Município,02. Básico - 1º Ciclo,, euros,855.7
2019,Amares,Município,03. Básico - 2º Ciclo,, euros,905.1
2019,Amares,Município,04. Básico - 3º Ciclo,, euros,853.8
2019,Amares,Município,05. Secundário,, euros,938.9
2019,Amares,Município,06. Curso técnico superior profissional,, euros,1060.7
2019,Amares,Município,07. Bacharelato,, euros,1244.2
2019,Amares,Município,08. Licenciatura,, euros,1270.6
2019,Amares,Município,09. Mestrado,, euros,1135.7
2019,Amares,Município,10. Doutoramento,, euros,2013.7
2019,Anadia,Município,01. Inferior ao 1.º ciclo,, euros,842.5
2019,Anadia,Município,02. Básico - 1º Ciclo,, euros,851.9
2019,Anadia,Município,03. Básico - 2º Ciclo,, euros,920.9
2019,Anadia,Município,04. Básico - 3º Ciclo,, euros,888.3
2019,Anadia,Município,05. Secundário,, euros,993.1
2019,Anadia,Município,07. Bacharelato,, euros,1441.9
2019,Anadia,Município,08. Licenciatura,, euros,1503.3
2019,Anadia,Município,09. Mestrado,, euros,1241.3
2019,Anadia,Município,10. Doutoramento,, euros,1565.0
2019,Angra do Heroísmo,Município,01. Inferior ao 1.º ciclo,, euros,845.7
2019,Angra do Heroísmo,Município,02. Básico - 1º Ciclo,, euros,914.4
2019,Angra do Heroísmo,Município,03. Básico - 2º Ciclo,, euros,876.6
2019,Angra do Heroísmo,Município,04. Básico - 3º Ciclo,, euros,867.5
2019,Angra do Heroísmo,Município,05. Secundário,, euros,950.8
2019,Angra do Heroísmo,Município,06. Curso técnico superior profissional,, euros,1103.1
2019,Angra do Heroísmo,Município,07. Bacharelato,, euros,1679.8
2019,Angra do Heroísmo,Município,08. Licenciatura,, euros,1697.4
2019,Angra do Heroísmo,Município,09. Mestrado,, euros,2203.5
2019,Angra do Heroísmo,Município,10. Doutoramento,, euros,1472.3
2019,Ansião,Município,01. Inferior ao 1.º ciclo,, euros,853.8
2019,Ansião,Município,02. Básico - 1º Ciclo,, euros,825.5
2019,Ansião,Município,03. Básico - 2º Ciclo,, euros,857.8
2019,Ansião,Município,04. Básico - 3º Ciclo,, euros,893.7
2019,Ansião,Município,05. Secundário,, euros,942.3
2019,Ansião,Município,07. Bacharelato,, euros,1356.9
2019,Ansião,Município,08. Licenciatura,, euros,1260.2
2019,Ansião,Município,09. Mestrado,, euros,1474.5
2019,Arcos de Valdevez,Município,01. Inferior ao 1.º ciclo,, euros,701.9
2019,Arcos de Valdevez,Município,02. Básico - 1º Ciclo,, euros,744.0
2019,Arcos de Valdevez,Município,03. Básico - 2º Ciclo,, euros,741.6
2019,Arcos de Valdevez,Município,04. Básico - 3º Ciclo,, euros,776.8
2019,Arcos de Valdevez,Município,05. Secundário,, euros,854.1
2019,Arcos de Valdevez,Município,07. Bacharelato,, euros,1458.2
2019,Arcos de Valdevez,Município,08. Licenciatura,, euros,1399.9
2019,Arcos de Valdevez,Município,09. Mestrado,, euros,1664.3
2019,Arganil,Município,01. Inferior ao 1.º ciclo,, euros,625.0
