municipality,house_price,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,windy_days,rainy_days,sunny_days,warm_days,year,quarter_num,quarter_ord,avg_income,people/km2,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,log_price_sqm,< 5,5 - 19,20 - 34,35 - 54,55 - 64,> 65,urban_cluster
Velas,597.0,631.7203916666666,6.866525996376811,30.41304347826087,472.7,5.13804347826087,45,81,43,41,2022,4,13,1046.0,42.2,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,5.0,1.0,0.0,0.0,6.391917113392602,184.0,668.0,795.0,1514.0,751.0,1039.0,3
Vila da Praia da Vitória,837.0,608.0892888888889,6.609666183574879,19.75217391304348,479.4,5.210869565217392,13,85,36,11,2022,4,13,1158.8,122.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,4.0,3.0,7.0,2.0,20.0,0.0,4.0,0.0,6.729824070489475,840.0,2851.0,3388.0,5810.0,3022.0,3757.0,3
Vila do Porto,1098.0,672.3275472222222,7.307908121980676,29.471739130434784,299.0,3.25,42,72,51,39,2022,4,13,2051.3,56.9,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,10.0,1.0,0.0,0.0,7.001245622069476,235.0,868.0,1022.0,1608.0,804.0,972.0,0
Vila Franca do Campo,1057.0,652.1291888888888,7.08836074879227,21.617391304347827,729.2,7.92608695652174,18,77,48,20,2022,4,13,958.1,133.2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,2.0,1.0,3.0,5.0,4.0,1.0,0.0,6.963189985870238,424.0,1708.0,2053.0,3147.0,1430.0,1626.0,3
Câmara de Lobos,1401.0,766.2487277777777,8.328790519323672,10.55108695652174,304.0,3.3043478260869565,2,59,70,55,2022,4,13,1066.9,621.5,0.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,2.0,14.0,1.0,7.0,36.0,4.0,1.0,0.0,7.244941546337007,1520.0,5288.0,6201.0,9634.0,4688.0,5091.0,3
Funchal,2109.0,766.2487277777777,8.328790519323672,10.55108695652174,304.0,3.3043478260869565,2,59,70,53,2022,4,13,1295.9,1403.9,1.0,1.0,4.0,7.0,5.0,16.0,8.0,28.0,28.0,45.0,12.0,16.0,73.0,7.0,7.0,4.0,7.653969180478774,3830.0,14289.0,16485.0,30878.0,17581.0,23939.0,2
Ponta do Sol,1198.0,767.9516138888889,8.347300150966184,12.214130434782607,818.6999999999999,8.89891304347826,3,54,69,59,2022,4,13,955.2,184.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,10.0,0.0,0.0,0.0,7.088408778675395,282.0,1236.0,1409.0,2433.0,1316.0,1862.0,3
Porto Moniz,707.0,785.7432,8.54068695652174,18.96195652173913,429.9,4.672826086956522,13,63,68,63,2022,4,13,955.2,30.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,6.561030665896573,54.0,296.0,367.0,632.0,412.0,739.0,3
Santa Cruz,1416.0,882.1105138888889,9.588157759661836,6.470652173913043,71.1,0.7728260869565217,0,42,87,61,2022,4,13,1200.4,535.4,0.0,0.0,1.0,4.0,1.0,6.0,4.0,13.0,4.0,12.0,6.0,6.0,24.0,4.0,3.0,0.0,7.255591274253665,1899.0,7034.0,7052.0,14714.0,6243.0,6593.0,3
Santana,816.0,811.6840555555556,8.822652777777778,6.717391304347826,636.2,6.915217391304348,0,63,63,22,2022,4,13,979.6,67.6,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,4.0,10.0,2.0,3.0,0.0,6.704414354964107,193.0,751.0,875.0,1624.0,1134.0,1880.0,3
São Vicente,1068.0,779.7350194444444,8.475380646135266,7.185869565217391,758.0,8.23913043478261,0,82,61,70,2022,4,13,938.8,61.7,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,6.97354301952014,133.0,596.0,730.0,1234.0,816.0,1358.0,3
Arcos de Valdevez,766.0,1064.661272222222,11.57240513285024,7.914130434782609,204.7,2.225,0,28,82,17,2022,3,12,1079.2,46.3,1.0,0.0,2.0,3.0,4.0,11.0,4.0,2.0,5.0,10.0,2.0,4.0,15.0,1.0,1.0,0.0,6.641182169740591,577.0,2196.0,2685.0,4811.0,2900.0,7544.0,3
Paredes de Coura,663.0,1061.0127388888889,11.532747161835749,8.181521739130435,183.4,1.9934782608695647,0,27,82,5,2022,3,12,1068.5,62.8,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,7.0,1.0,0.0,0.0,6.496774990185863,278.0,1031.0,1144.0,2291.0,1239.0,2693.0,3
Ponte da Barca,833.0,1054.2180833333334,11.458892210144928,7.605434782608696,223.8,2.432608695652174,0,26,83,18,2022,3,12,967.7,61.0,1.0,0.0,2.0,3.0,4.0,11.0,3.0,2.0,7.0,10.0,2.0,3.0,16.0,1.0,1.0,0.0,6.725033642166843,354.0,1302.0,1633.0,2837.0,1619.0,3360.0,3
Ponte de Lima,1099.0,1061.2985416666668,11.535853713768118,8.477173913043478,206.3,2.242391304347826,0,22,83,20,2022,3,12,1074.8,128.2,0.0,0.0,1.0,2.0,3.0,15.0,2.0,2.0,3.0,13.0,6.0,2.0,39.0,2.0,1.0,2.0,7.002155954403621,1462.0,5444.0,6540.0,11467.0,5910.0,10243.0,3
Valença,758.0,1092.9029194444445,11.879379559178744,14.752173913043478,114.7,1.2467391304347826,1,30,83,12,2022,3,12,1070.4,118.9,0.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,7.0,6.0,4.0,23.0,5.0,1.0,1.0,6.630683385642372,501.0,1835.0,2177.0,3805.0,1930.0,3684.0,3
Viana do Castelo,1263.0,1068.1128777777778,11.609922584541064,13.27391304347826,190.2,2.067391304347826,1,21,85,37,2022,3,12,1246.0,270.4,2.0,0.0,2.0,5.0,3.0,20.0,2.0,6.0,7.0,24.0,12.0,4.0,66.0,16.0,1.0,4.0,7.141245122350491,3170.0,11209.0,12907.0,23704.0,12802.0,22463.0,0
Vila Nova de Cerveira,871.0,1062.5400638888889,11.5493485205314,9.65,193.6,2.1043478260869564,0,27,83,39,2022,3,12,1238.5,84.7,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,2.0,1.0,13.0,3.0,1.0,0.0,6.769641976852503,342.0,1168.0,1458.0,2564.0,1192.0,2467.0,3
Amares,977.0,1062.3442027777778,11.547219595410628,7.4576086956521745,190.3,2.0684782608695653,0,21,84,4,2022,3,12,1063.4,234.5,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,5.0,2.0,3.0,31.0,0.0,0.0,0.0,6.884486652042782,748.0,2719.0,3306.0,5512.0,2660.0,4272.0,3
Barcelos,1103.0,1049.9038083333332,11.411997916666666,9.03695652173913,173.6,1.8869565217391304,0,22,83,9,2022,3,12,1091.8,308.0,1.0,0.0,2.0,5.0,3.0,48.0,4.0,9.0,7.0,45.0,5.0,11.0,126.0,17.0,4.0,6.0,7.005789019253503,4396.0,16190.0,20469.0,34087.0,17271.0,24271.0,0
Braga,1292.0,1066.5363388888888,11.592786292270532,8.356521739130434,170.10000000000002,1.848913043478261,0,22,84,4,2022,3,12,1286.0,1081.0,2.0,2.0,2.0,4.0,9.0,57.0,7.0,22.0,21.0,53.0,10.0,16.0,159.0,11.0,5.0,7.0,7.163946684342547,8607.0,29071.0,35182.0,59489.0,27845.0,38061.0,2
Esposende,1320.0,1054.9970611111112,11.467359359903382,11.354347826086956,194.6,2.115217391304348,0,24,84,29,2022,3,12,1064.6,382.2,1.0,1.0,1.0,2.0,4.0,12.0,1.0,1.0,8.0,11.0,3.0,4.0,32.0,1.0,1.0,0.0,7.1853870155804165,1567.0,5291.0,6151.0,10707.0,5207.0,7539.0,3
Terras de Bouro,853.0,1057.7032222222222,11.496774154589373,7.330434782608695,230.4,2.5043478260869567,0,24,83,6,2022,3,12,1054.1,22.9,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,7.0,4.0,2.0,3.0,18.0,1.0,0.0,0.0,6.748759547491679,179.0,782.0,910.0,1583.0,1021.0,1891.0,3
Vila Verde,946.0,1061.7685166666668,11.54096213768116,7.889130434782608,179.6,1.952173913043478,0,24,84,11,2022,3,12,1012.5,207.8,1.0,0.0,3.0,5.0,6.0,27.0,2.0,4.0,4.0,21.0,6.0,6.0,68.0,1.0,0.0,0.0,6.852242569051878,1952.0,6843.0,8024.0,13689.0,6441.0,10572.0,0
Cabeceiras de Basto,723.0,1069.1210416666668,11.62088088768116,8.707608695652175,200.0,2.1739130434782608,0,21,84,6,2022,3,12,922.0,64.1,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,8.0,6.0,2.0,2.0,17.0,1.0,0.0,0.0,6.583409222158765,500.0,2229.0,2561.0,4184.0,2336.0,3699.0,3
Fafe,872.0,1068.3465194444443,11.612462167874398,8.607608695652173,160.2,1.7413043478260868,0,22,84,6,2022,3,12,981.2,220.7,0.0,0.0,1.0,1.0,1.0,15.0,2.0,3.0,7.0,11.0,3.0,3.0,49.0,1.0,1.0,1.0,6.77078942390898,1738.0,6219.0,7760.0,13661.0,7305.0,11667.0,3
Guimarães,1068.0,1071.7815805555556,11.649799788647345,8.819565217391304,180.4,1.9608695652173915,0,24,84,14,2022,3,12,1103.6,649.4,6.0,0.0,7.0,9.0,14.0,61.0,13.0,32.0,25.0,80.0,16.0,27.0,226.0,14.0,9.0,10.0,6.97354301952014,6266.0,20838.0,26480.0,45538.0,24168.0,33204.0,2
Mondim de Basto,573.0,1076.3343333333332,11.699286231884058,7.846739130434782,141.9,1.542391304347826,0,24,84,6,2022,3,12,902.8,37.2,0.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,4.0,4.0,2.0,1.0,19.0,1.0,0.0,0.0,6.35088571671474,187.0,754.0,946.0,1574.0,1056.0,1892.0,3
Póvoa de Lanhoso,873.0,1071.338411111111,11.644982729468598,8.045652173913044,163.4,1.7760869565217392,0,25,84,13,2022,3,12,970.7,165.7,0.0,0.0,1.0,2.0,1.0,11.0,1.0,2.0,2.0,5.0,1.0,2.0,18.0,0.0,1.0,1.0,6.771935555839602,808.0,3086.0,3672.0,6108.0,3460.0,5177.0,3
Vieira do Minho,625.0,1065.9562222222223,11.586480676328504,7.684782608695652,196.0,2.130434782608696,0,24,83,12,2022,3,12,943.9,55.4,0.0,0.0,0.0,2.0,2.0,6.0,1.0,1.0,4.0,6.0,4.0,3.0,14.0,3.0,0.0,0.0,6.437751649736401,339.0,1308.0,1751.0,2940.0,1979.0,3663.0,3
Vila Nova de Famalicão,1119.0,1055.82745,11.476385326086955,9.238043478260868,179.9,1.955434782608696,0,22,84,7,2022,3,12,1257.8,670.0,0.0,1.0,2.0,9.0,6.0,50.0,6.0,15.0,17.0,46.0,12.0,12.0,132.0,14.0,7.0,2.0,7.020190708311925,5526.0,18554.0,23228.0,39631.0,20110.0,28019.0,0
Vizela,957.0,1071.1119472222222,11.642521165458936,9.335869565217392,202.6,2.2021739130434783,0,25,84,13,2022,3,12,1043.7,983.7,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,2.0,21.0,3.0,1.0,0.0,6.863803391452954,1074.0,3300.0,4522.0,7235.0,3687.0,4479.0,3
Arouca,787.0,1085.2595777777778,11.796299758454108,8.107608695652173,114.9,1.248913043478261,0,27,84,12,2022,3,12,1091.2,63.6,2.0,1.0,2.0,6.0,1.0,9.0,5.0,2.0,5.0,10.0,3.0,9.0,58.0,3.0,6.0,0.0,6.668228248417403,718.0,2961.0,3204.0,5689.0,3173.0,5197.0,0
Gondomar,1430.0,1071.3059777777778,11.644630193236717,9.806521739130435,194.6,2.115217391304348,0,19,84,13,2022,3,12,1141.0,1267.8,2.0,2.0,2.0,11.0,3.0,74.0,6.0,7.0,12.0,46.0,17.0,20.0,188.0,30.0,10.0,1.0,7.265429723253953,6538.0,22615.0,27867.0,47651.0,25403.0,37177.0,2
Maia,1582.0,1069.757002777778,11.627793508454108,11.889130434782608,149.9,1.6293478260869565,0,18,84,16,2022,3,12,1430.5,1691.8,5.0,1.0,2.0,12.0,6.0,68.0,7.0,22.0,14.0,68.0,15.0,25.0,165.0,55.0,10.0,11.0,7.366445148327599,5714.0,20767.0,23077.0,42994.0,19764.0,28016.0,2
Matosinhos,2045.0,1071.439025,11.646076358695652,11.639130434782608,151.79999999999998,1.65,0,24,85,30,2022,3,12,1536.5,2837.9,3.0,4.0,3.0,8.0,9.0,54.0,7.0,22.0,20.0,61.0,13.0,19.0,127.0,44.0,12.0,23.0,7.623153068476902,6892.0,23548.0,28286.0,50328.0,26070.0,42019.0,2
Oliveira de Azeméis,888.0,1073.8699055555555,11.672498973429953,9.621739130434785,145.1,1.577173913043478,0,22,84,15,2022,3,12,1272.6,415.1,4.0,1.0,8.0,9.0,5.0,38.0,7.0,6.0,12.0,27.0,6.0,21.0,108.0,12.0,12.0,3.0,6.78897174299217,2386.0,8438.0,10694.0,18663.0,10595.0,16093.0,0
Paredes,978.0,1120.9361305555556,12.184088375603864,12.841304347826089,71.8,0.7804347826086956,0,19,89,2,2022,3,12,1059.1,544.7,0.0,0.0,1.0,9.0,2.0,29.0,3.0,4.0,4.0,18.0,7.0,9.0,89.0,14.0,5.0,2.0,6.885509670034818,3555.0,13082.0,15429.0,25970.0,12664.0,14685.0,0
Porto,2467.0,1071.439025,11.646076358695652,11.639130434782608,151.79999999999998,1.65,0,24,85,17,2022,3,12,1628.7,5867.1,8.0,11.0,11.0,8.0,20.0,72.0,20.0,39.0,72.0,119.0,36.0,30.0,213.0,53.0,24.0,43.0,7.810758116529357,9676.0,29477.0,45569.0,63002.0,32628.0,62664.0,1
Póvoa de Varzim,1602.0,1067.4734583333334,11.602972373188406,11.681521739130435,162.3,1.7641304347826088,0,20,83,22,2022,3,12,1134.2,806.0,0.0,0.0,0.0,3.0,5.0,22.0,4.0,8.0,6.0,14.0,5.0,2.0,49.0,4.0,3.0,3.0,7.379008127628304,2599.0,9706.0,11402.0,19113.0,9357.0,14082.0,3
Santo Tirso,1009.0,1065.2143055555557,11.5784163647343,9.595652173913043,199.0,2.1630434782608696,0,23,84,9,2022,3,12,1161.4,495.8,1.0,0.0,2.0,7.0,4.0,20.0,1.0,8.0,6.0,29.0,9.0,10.0,95.0,10.0,3.0,0.0,6.9167150203536085,2338.0,8018.0,10623.0,18646.0,10767.0,17313.0,0
São João da Madeira,959.0,1079.2530916666667,11.73101186594203,9.606521739130434,150.7,1.6380434782608695,0,24,85,13,2022,3,12,1212.6,2940.6,2.0,0.0,1.0,3.0,2.0,7.0,1.0,3.0,2.0,6.0,2.0,5.0,26.0,4.0,4.0,0.0,6.865891074883439,833.0,3118.0,3960.0,6616.0,3531.0,5290.0,3
Vale de Cambra,976.0,1079.2530916666667,11.73101186594203,9.606521739130434,150.7,1.6380434782608695,0,24,85,13,2022,3,12,1261.4,144.2,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,4.0,7.0,2.0,3.0,48.0,2.0,5.0,0.0,6.883462586413092,703.0,2475.0,3057.0,5666.0,3174.0,6169.0,3
Valongo,1361.0,1071.3059777777778,11.644630193236717,9.806521739130435,194.6,2.115217391304348,0,19,84,12,2022,3,12,1229.6,1310.0,3.0,2.0,1.0,5.0,4.0,38.0,2.0,4.0,6.0,26.0,11.0,8.0,101.0,18.0,7.0,1.0,7.215975002651466,4120.0,14095.0,17041.0,29669.0,13704.0,19781.0,0
Vila do Conde,1512.0,1067.4734583333334,11.602972373188406,11.681521739130435,162.3,1.7641304347826088,0,20,83,22,2022,3,12,1267.1,560.5,1.0,0.0,1.0,6.0,6.0,21.0,5.0,9.0,13.0,30.0,11.0,8.0,84.0,18.0,8.0,5.0,7.321188556739478,3496.0,12295.0,13467.0,24902.0,11875.0,17497.0,0
Vila Nova de Gaia,1588.0,1071.439025,11.646076358695652,11.639130434782608,151.79999999999998,1.65,0,24,85,15,2022,3,12,1305.7,1831.5,6.0,4.0,6.0,10.0,9.0,73.0,17.0,25.0,49.0,80.0,24.0,20.0,207.0,38.0,16.0,15.0,7.370230641807081,12272.0,42402.0,50431.0,89221.0,45617.0,68598.0,2
Chaves,919.0,1101.8542166666666,11.97667626811594,7.971739130434782,40.8,0.4434782608695652,0,19,86,2,2022,3,12,1094.2,63.1,1.0,1.0,2.0,4.0,3.0,13.0,2.0,1.0,9.0,17.0,7.0,6.0,35.0,3.0,0.0,1.0,6.823286122355687,1053.0,4245.0,4664.0,9016.0,5892.0,12456.0,3
Montalegre,561.0,1092.7989916666666,11.878249909420289,8.893478260869566,129.9,1.4119565217391306,0,33,84,1,2022,3,12,978.1,11.3,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,7.0,8.0,4.0,4.0,13.0,2.0,1.0,0.0,6.329720905522696,224.0,762.0,1017.0,1893.0,1543.0,3700.0,3
Ribeira de Pena,426.0,1083.3344277777778,11.775374214975846,7.719565217391305,119.7,1.3010869565217391,0,25,85,2,2022,3,12,1140.2,26.8,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,9.0,0.0,0.0,0.0,6.054439346269371,168.0,679.0,756.0,1375.0,975.0,1883.0,3
Valpaços,500.0,1107.4704944444445,12.037722765700485,7.886956521739131,42.1,0.4576086956521739,0,20,87,1,2022,3,12,931.0,26.5,1.0,1.0,3.0,5.0,5.0,16.0,3.0,1.0,11.0,25.0,10.0,6.0,44.0,4.0,1.0,2.0,6.214608098422191,360.0,1376.0,1540.0,2965.0,2349.0,5967.0,0
Vila Pouca de Aguiar,595.0,1100.406438888889,11.960939553140095,9.064130434782609,59.4,0.6456521739130434,0,27,86,1,2022,3,12,978.1,26.9,0.0,0.0,1.0,2.0,0.0,8.0,1.0,0.0,2.0,4.0,3.0,3.0,11.0,1.0,1.0,0.0,6.38856140554563,287.0,1145.0,1509.0,2552.0,2089.0,4171.0,3
Castelo de Paiva,960.0,1085.4846777777775,11.79874649758454,8.270652173913044,97.8,1.0630434782608698,0,24,85,12,2022,3,12,967.0,133.8,0.0,0.0,1.0,2.0,2.0,12.0,1.0,0.0,2.0,6.0,2.0,4.0,26.0,0.0,3.0,0.0,6.866933284461882,480.0,2116.0,2611.0,4330.0,2498.0,3357.0,3
Celorico de Basto,657.0,1067.908888888889,11.607705314009662,8.341304347826087,127.3,1.383695652173913,0,22,84,8,2022,3,12,941.5,97.1,0.0,0.0,1.0,2.0,1.0,16.0,4.0,1.0,5.0,9.0,2.0,2.0,30.0,3.0,0.0,0.0,6.48768401848461,568.0,2330.0,2792.0,4709.0,2805.0,4371.0,3
Cinfães,483.0,1092.8349777777778,11.878641062801933,8.115217391304348,120.6,1.3108695652173914,0,31,85,5,2022,3,12,988.4,73.4,0.0,0.0,1.0,3.0,5.0,6.0,0.0,0.0,1.0,9.0,5.0,2.0,47.0,1.0,3.0,0.0,6.180016653652572,607.0,2258.0,2628.0,4669.0,2788.0,4610.0,3
Felgueiras,865.0,1067.908888888889,11.607705314009662,8.341304347826087,127.3,1.383695652173913,0,22,84,6,2022,3,12,1020.7,478.8,0.0,0.0,1.0,2.0,1.0,16.0,3.0,2.0,1.0,13.0,3.0,4.0,62.0,2.0,1.0,1.0,6.762729506931879,2159.0,7621.0,10315.0,16023.0,8632.0,10666.0,3
Lousada,880.0,1070.6281527777778,11.637262530193237,8.673913043478262,184.0,2.0,0,24,84,4,2022,3,12,984.9,498.9,0.0,0.0,1.0,2.0,2.0,11.0,1.0,0.0,1.0,7.0,1.0,1.0,52.0,5.0,0.0,0.0,6.779921907472252,2090.0,7187.0,9256.0,14461.0,7115.0,7822.0,3
Marco de Canaveses,829.0,1083.0937,11.77275760869565,7.796739130434782,111.0,1.2065217391304348,0,20,83,9,2022,3,12,989.4,245.0,2.0,0.0,3.0,5.0,6.0,23.0,2.0,3.0,3.0,13.0,7.0,3.0,109.0,13.0,2.0,1.0,6.720220155135295,1753.0,7291.0,8917.0,14370.0,7664.0,9465.0,0
Paços de Ferreira,929.0,1072.3503777777778,11.65598236714976,9.49891304347826,234.4,2.5478260869565217,0,23,84,5,2022,3,12,1012.8,787.2,1.0,0.0,1.0,2.0,0.0,7.0,0.0,2.0,3.0,7.0,3.0,3.0,36.0,2.0,1.0,0.0,6.834108738813838,2295.0,8225.0,10679.0,16739.0,8383.0,9561.0,3
Resende,423.0,785.1086027777777,8.533789160628018,5.836956521739131,181.3,1.970652173913044,0,35,69,10,2022,3,12,915.9,79.9,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,11.0,5.0,3.0,0.0,6.0473721790462776,314.0,1256.0,1474.0,2622.0,1603.0,2591.0,3
Alijó,597.0,1101.6373277777775,11.974318780193236,8.552173913043477,78.4,0.8521739130434783,0,18,87,1,2022,3,12,1026.1,34.8,0.0,0.0,1.0,5.0,2.0,6.0,1.0,0.0,1.0,7.0,3.0,3.0,22.0,3.0,4.0,0.0,6.391917113392602,273.0,1097.0,1318.0,2438.0,1735.0,3501.0,3
Armamar,262.0,1108.3998055555555,12.047823973429953,7.783695652173913,42.6,0.4630434782608695,0,24,87,2,2022,3,12,1007.0,48.6,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,5.568344503761097,144.0,643.0,821.0,1362.0,991.0,1732.0,3
Carrazeda de Ansiães,374.0,1098.4598222222223,11.939780676328503,8.626086956521739,39.6,0.4304347826086956,0,17,86,1,2022,3,12,955.9,19.3,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,9.0,6.0,0.0,0.0,5.924255797414532,133.0,542.0,624.0,1223.0,807.0,2067.0,3
Mesão Frio,466.0,1109.5870083333334,12.060728351449276,7.540217391304348,72.4,0.7869565217391304,0,23,88,4,2022,3,12,1086.4,131.9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,7.0,4.0,0.0,0.0,6.144185634125646,100.0,396.0,529.0,884.0,594.0,1011.0,3
Murça,464.0,1101.451525,11.972299184782608,8.730434782608697,45.6,0.4956521739130435,0,20,86,1,2022,3,12,1026.8,27.6,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,15.0,1.0,3.0,0.0,6.139884552226255,110.0,524.0,679.0,1146.0,885.0,1879.0,3
Sabrosa,457.0,1101.6373277777775,11.974318780193236,8.552173913043477,78.4,0.8521739130434783,0,18,87,1,2022,3,12,1107.9,35.7,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,2.0,21.0,3.0,1.0,0.0,6.124683390894205,160.0,609.0,773.0,1343.0,835.0,1878.0,3
Santa Marta de Penaguião,400.0,1106.642413888889,12.02872189009662,7.726086956521739,60.5,0.657608695652174,0,17,87,6,2022,3,12,941.9,86.5,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,22.0,0.0,1.0,0.0,5.991464547107982,144.0,627.0,815.0,1457.0,1006.0,1944.0,3
Tabuaço,518.0,1113.1702861111112,12.09967702294686,8.127173913043478,31.0,0.3369565217391304,0,18,86,1,2022,3,12,1074.4,37.7,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,6.249975242259483,149.0,520.0,713.0,1165.0,848.0,1648.0,3
Tarouca,598.0,1103.4274027777778,11.99377611714976,8.790217391304349,72.7,0.7902173913043479,0,24,85,3,2022,3,12,966.0,74.7,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,5.0,1.0,2.0,9.0,0.0,0.0,0.0,6.393590753950631,250.0,1025.0,1121.0,1985.0,1204.0,1893.0,3
Torre de Moncorvo,346.0,1111.338,12.079760869565217,7.184782608695652,65.1,0.7076086956521739,0,17,88,2,2022,3,12,960.2,12.7,2.0,0.0,2.0,4.0,0.0,13.0,2.0,0.0,9.0,8.0,6.0,4.0,14.0,3.0,4.0,1.0,5.846438775057725,192.0,575.0,750.0,1403.0,1059.0,2764.0,3
Vila Nova de Foz Côa,347.0,1109.6172638888888,12.061057216183574,8.594565217391304,35.1,0.3815217391304348,0,14,85,2,2022,3,12,1033.4,15.9,3.0,0.0,3.0,3.0,0.0,5.0,3.0,0.0,9.0,7.0,4.0,9.0,9.0,6.0,4.0,1.0,5.849324779946859,172.0,596.0,802.0,1454.0,993.0,2301.0,3
Vila Real,1111.0,1077.8916583333332,11.716213677536231,7.94891304347826,68.3,0.7423913043478261,0,27,86,7,2022,3,12,1219.8,131.1,4.0,6.0,21.0,33.0,17.0,91.0,25.0,11.0,66.0,103.0,47.0,51.0,302.0,35.0,19.0,4.0,7.01301578963963,1746.0,6651.0,7360.0,14178.0,7627.0,12100.0,5
Alfândega da Fé,424.0,1108.136088888889,12.044957487922703,8.51086956521739,54.0,0.5869565217391305,0,17,86,1,2022,3,12,968.4,13.2,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,6.049733455231958,129.0,384.0,557.0,857.0,718.0,1600.0,3
Bragança,826.0,1100.5394,11.962384782608694,11.410869565217393,61.900000000000006,0.6728260869565218,0,22,85,2,2022,3,12,1144.2,29.9,4.0,0.0,8.0,18.0,11.0,42.0,14.0,1.0,53.0,64.0,36.0,27.0,155.0,21.0,12.0,7.0,6.716594773520978,1268.0,4027.0,5701.0,9057.0,4975.0,10008.0,2
Mirandela,780.0,1104.4437138888889,12.00482297705314,6.956521739130435,42.2,0.458695652173913,0,17,87,4,2022,3,12,1062.4,32.4,0.0,0.0,2.0,3.0,3.0,12.0,2.0,0.0,4.0,12.0,5.0,4.0,24.0,2.0,0.0,1.0,6.659293919683638,613.0,2393.0,2965.0,5167.0,3178.0,7005.0,3
Mogadouro,444.0,1103.3406833333331,11.992833514492752,9.65108695652174,35.7,0.3880434782608696,0,18,86,1,2022,3,12,980.7,10.9,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,2.0,6.0,4.0,4.0,16.0,1.0,1.0,0.0,6.095824562432225,196.0,759.0,961.0,1784.0,1370.0,3190.0,3
Vila Flor,351.0,1103.7926944444444,11.99774667874396,8.0,41.9,0.4554347826086956,0,16,86,1,2022,3,12,1014.3,22.7,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,10.0,0.0,1.0,0.0,5.860786223465865,175.0,594.0,755.0,1442.0,895.0,2167.0,3
Vinhais,300.0,1089.7263138888889,11.844851237922706,10.858695652173912,71.3,0.775,0,23,85,2,2022,3,12,924.7,10.8,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,2.0,2.0,11.0,0.0,1.0,0.0,5.703782474656201,164.0,543.0,682.0,1499.0,1235.0,3390.0,3
Albergaria-a-Velha,896.0,1068.5542777777778,11.61472041062802,9.559782608695652,203.4,2.210869565217392,0,22,84,15,2022,3,12,1256.1,159.5,1.0,0.0,2.0,4.0,1.0,32.0,3.0,3.0,6.0,22.0,6.0,15.0,75.0,15.0,6.0,2.0,6.79794041297493,976.0,3492.0,4067.0,7254.0,3669.0,5866.0,0
