region,quarter,temperature_2m_mean,precipitation_sum,sunshine_duration,windspeed_10m_mean
Área Metropolitana de Lisboa,2024Q2,18.327472527472526,84.10000000000001,3772011.78,13.780219780219781
Área Metropolitana de Lisboa,2024Q3,22.303260869565218,21.4,3846674.59,15.253260869565217
Área Metropolitana de Lisboa,2024Q4,15.700000000000001,196.6,2623887.21,11.993478260869566
Área Metropolitana de Lisboa,2025Q1,12.807777777777778,407.5,2279014.37,12.78111111111111
Alentejo,2019Q1,11.2,91.8,2840658.57,10.51
Alentejo,2019Q2,18.434065934065934,69.4,3750328.21,12.47032967032967
Alentejo,2019Q3,23.72391304347826,12.2,3922105.19,11.033695652173913
Alentejo,2019Q4,14.357608695652175,195.29999999999998,2402496.15,12.240217391304347
Alentejo,2020Q1,11.957142857142856,123.60000000000001,2612244.23,10.203296703296703
Alentejo,2020Q2,18.514285714285712,154.8,3619779.66,11.132967032967032
Alentejo,2020Q3,25.00326086956522,22.9,4001514.19,10.822826086956523
Alentejo,2020Q4,13.876086956521737,263.9,2408500.98,10.679347826086957
Alentejo,2021Q1,11.192222222222222,201.0,2503071.84,11.44111111111111
Alentejo,2021Q2,18.47142857142857,107.3,3829956.87,11.232967032967034
Alentejo,2021Q3,23.653260869565216,63.5,3968531.55,11.303260869565218
Alentejo,2021Q4,14.588043478260868,123.5,2690872.5,10.907608695652174
Alentejo,2022Q1,11.61111111111111,148.6,2710509.18,10.273333333333333
Alentejo,2022Q2,19.462637362637363,68.0,3794851.88,12.583516483516483
Alentejo,2022Q3,24.686956521739127,62.4,3899609.57,10.90108695652174
Alentejo,2022Q4,16.108695652173914,253.0,2361034.47,10.753260869565217
Alentejo,2023Q1,11.248888888888889,64.3,2751432.15,10.61
Alentejo,2023Q2,21.22087912087912,55.1,3922166.39,11.002197802197802
Alentejo,2023Q3,24.768478260869564,64.7,3948604.53,11.422826086956523
Alentejo,2023Q4,14.993478260869566,165.6,2453692.53,9.871739130434783
Alentejo,2024Q1,12.48021978021978,293.5,2535840.45,12.19010989010989
Alentejo,2024Q2,18.641758241758243,36.6,3831182.47,11.215384615384616
Alentejo,2024Q3,24.356521739130436,10.3,3971699.65,11.26304347826087
Alentejo,2024Q4,14.365217391304347,164.9,2582656.98,11.443478260869565
Alentejo,2025Q1,11.224444444444446,422.90000000000003,2416884.6,12.27
Algarve,2019Q1,13.402222222222223,61.8,3014689.06,13.503333333333332
Algarve,2019Q2,18.802197802197803,50.3,3999512.93,14.756043956043955
Algarve,2019Q3,23.64891304347826,8.8,4004550.52,12.020652173913044
Algarve,2019Q4,16.22717391304348,119.8,2658012.05,13.273913043478261
Algarve,2020Q1,13.97032967032967,105.6,2907921.32,11.40989010989011
Algarve,2020Q2,19.232967032967032,148.8,3852878.59,13.475824175824176
Algarve,2020Q3,24.778260869565216,14.899999999999999,4025744.15,11.890217391304349
Algarve,2020Q4,16.22826086956522,213.6,2712148.91,12.269565217391303
Algarve,2021Q1,13.365555555555556,162.1,2770132.86,13.741111111111111
Algarve,2021Q2,19.284615384615385,66.6,3968761.39,12.668131868131868
Algarve,2021Q3,23.905434782608697,41.900000000000006,4000018.06,12.044565217391304
Algarve,2021Q4,16.726086956521737,103.9,2828130.0100000002,13.019565217391303
Algarve,2022Q1,13.816666666666666,158.4,2840888.5,13.246666666666668
Algarve,2022Q2,19.37912087912088,71.9,3973727.19,14.435164835164834
Algarve,2022Q3,23.825,18.7,3960362.48,12.32391304347826
Algarve,2022Q4,17.79021739130435,258.2,2639064.85,11.534782608695652
Algarve,2023Q1,13.728888888888887,68.8,2862763.65,13.246666666666668
Algarve,2023Q2,21.18241758241758,65.6,3990519.48,12.763736263736265
Algarve,2023Q3,25.242391304347827,31.5,3938575.09,12.421739130434782
Algarve,2023Q4,16.91086956521739,218.4,2699508.02,11.34891304347826
Algarve,2024Q1,14.762637362637363,275.1,2731382.2,14.925274725274726
Algarve,2024Q2,19.482417582417582,26.6,4031093.59,13.746153846153847
Algarve,2024Q3,24.597826086956523,11.5,3998186.8,12.01086956521739
Algarve,2024Q4,16.838043478260868,237.6,2721860.6,13.019565217391303
Algarve,2025Q1,13.867777777777777,413.9,2747824.7600000002,14.188888888888888
Região Autónoma dos Açores,2019Q1,13.958888888888888,442.7,2523829.03,16.78
Região Autónoma dos Açores,2019Q2,16.0,278.0,3582864.38,14.667032967032968
Região Autónoma dos Açores,2019Q3,20.731521739130436,276.9,3701563.73,10.857608695652173
Região Autónoma dos Açores,2019Q4,17.13695652173913,441.2,2542006.1,16.644565217391303
Região Autónoma dos Açores,2020Q1,14.4989010989011,298.5,2713807.02,15.267032967032966
Região Autónoma dos Açores,2020Q2,15.823076923076924,374.7,3484008.99,15.89120879120879
Região Autónoma dos Açores,2020Q3,20.532608695652176,173.2,3902349.47,11.421739130434782
Região Autónoma dos Açores,2020Q4,15.847826086956522,243.8,2817250.66,17.570652173913043
Região Autónoma dos Açores,2021Q1,13.774444444444445,395.3,2396602.82,19.166666666666668
Região Autónoma dos Açores,2021Q2,16.374725274725275,307.4,3592352.85,14.021978021978022
