year,region,scope,education_level,symbol,unit,value
2019,Óbidos,Município,Total,, euros,1008.1
2019,Odemira,Município,Total,, euros,892.9
2019,Odivelas,Município,Total,, euros,987.2
2019,Oeiras,Município,Total,, euros,1748.2
2019,Oleiros,Município,Total,, euros,945.9
2019,Olhão,Município,Total,, euros,960.0
2019,Oliveira de Azeméis,Município,Total,, euros,1145.8
2019,Oliveira de Frades,Município,Total,, euros,1155.7
2019,Oliveira do Bairro,Município,Total,, euros,1047.8
2019,Oliveira do Hospital,Município,Total,, euros,902.5
2019,Ourém,Município,Total,, euros,1029.4
2019,Ourique,Município,Total,, euros,892.7
2019,Ovar,Município,Total,, euros,1074.0
2019,Paços de Ferreira,Município,Total,, euros,886.7
2019,Palmela,Município,Total,, euros,1408.9
2019,Pampilhosa da Serra,Município,Total,, euros,857.2
2019,Paredes,Município,Total,, euros,919.4
2019,Paredes de Coura,Município,Total,, euros,954.2
2019,Pedrógão Grande,Município,Total,, euros,883.8
2019,Penacova,Município,Total,, euros,979.1
2019,Penafiel,Município,Total,, euros,975.4
2019,Penalva do Castelo,Município,Total,, euros,906.7
2019,Penamacor,Município,Total,, euros,908.4
2019,Penedono,Município,Total,, euros,800.5
2019,Penela,Município,Total,, euros,939.7
2019,Peniche,Município,Total,, euros,954.9
2019,Peso da Régua,Município,Total,, euros,982.1
2019,Pinhel,Município,Total,, euros,855.3
2019,Pombal,Município,Total,, euros,1025.0
2019,Ponta Delgada,Município,Total,, euros,1205.5
2019,Ponta do Sol,Município,Total,, euros,881.1
2019,Ponte da Barca,Município,Total,, euros,854.2
2019,Ponte de Lima,Município,Total,, euros,922.3
2019,Ponte de Sor,Município,Total,, euros,1030.1
2019,Portalegre,Município,Total,, euros,991.0
2019,Portel,Município,Total,, euros,966.0
2019,Portimão,Município,Total,, euros,1049.2
2019,Porto,Município,Total,, euros,1416.7
2019,Porto de Mós,Município,Total,, euros,1088.0
2019,Porto Moniz,Município,Total,, euros,826.7
2019,Porto Santo,Município,Total,, euros,1175.5
2019,Póvoa de Lanhoso,Município,Total,, euros,855.7
2019,Póvoa de Varzim,Município,Total,, euros,1033.8
2019,Povoação,Município,Total,, euros,924.3
2019,Proença-a-Nova,Município,Total,, euros,946.8
2019,Redondo,Município,Total,, euros,967.8
2019,Reguengos de Monsaraz,Município,Total,, euros,937.7
2019,Resende,Município,Total,, euros,803.3
2019,Ribeira Brava,Município,Total,, euros,920.2
2019,Ribeira de Pena,Município,Total,, euros,1233.3
2019,Ribeira Grande,Município,Total,, euros,999.3
2019,Rio Maior,Município,Total,, euros,1040.4
2019,Sabrosa,Município,Total,, euros,946.1
2019,Sabugal,Município,Total,, euros,883.8
2019,Salvaterra de Magos,Município,Total,, euros,986.5
2019,Santa Comba Dão,Município,Total,, euros,923.5
2019,Santa Cruz,Município,Total,, euros,1116.1
2019,Santa Cruz da Graciosa,Município,Total,, euros,1039.1
2019,Santa Cruz das Flores,Município,Total,, euros,1178.4
2019,Santa Maria da Feira,Município,Total,, euros,1089.7
2019,Santa Marta de Penaguião,Município,Total,, euros,868.8
2019,Santana,Município,Total,, euros,883.2
2019,Santarém,Município,Total,, euros,1065.3
2019,Santiago do Cacém,Município,Total,, euros,1058.2
2019,Santo Tirso,Município,Total,, euros,1008.3
2019,São Brás de Alportel,Município,Total,, euros,972.3
2019,São João da Madeira,Município,Total,, euros,1074.3
2019,São João da Pesqueira,Município,Total,, euros,965.4
2019,São Pedro do Sul,Município,Total,, euros,837.6
2019,São Roque do Pico,Município,Total,, euros,1036.1
2019,São Vicente,Município,Total,, euros,866.1
2019,Sardoal,Município,Total,, euros,843.8
2019,Sátão,Município,Total,, euros,815.0
2019,Seia,Município,Total,, euros,915.1
2019,Seixal,Município,Total,, euros,1271.7
2019,Sernancelhe,Município,Total,, euros,806.4
2019,Serpa,Município,Total,, euros,888.6
2019,Sertã,Município,Total,, euros,898.2
2019,Sesimbra,Município,Total,, euros,1041.6
2019,Setúbal,Município,Total,, euros,1208.6
2019,Sever do Vouga,Município,Total,, euros,1050.9
2019,Silves,Município,Total,, euros,953.1
2019,Sines,Município,Total,, euros,1869.5
2019,Sintra,Município,Total,, euros,1220.7
2019,Sobral de Monte Agraço,Município,Total,, euros,970.4
2019,Soure,Município,Total,, euros,1007.6
2019,Sousel,Município,Total,, euros,925.4
2019,Tábua,Município,Total,, euros,919.1
2019,Tabuaço,Município,Total,, euros,966.3
2019,Tarouca,Município,Total,, euros,828.4
2019,Tavira,Município,Total,, euros,919.1
2019,Terras de Bouro,Município,Total,, euros,888.9
2019,Tomar,Município,Total,, euros,1025.4
2019,Tondela,Município,Total,, euros,1104.5
