year,municipality,people/km2
2020,Mafra,299.0
2020,Maia,1633.0
2020,Mangualde,84.0
2020,Manteigas,24.4
2020,Marco de Canaveses,246.3
2020,Marinha Grande,209.4
2020,Marvão,19.7
2020,Matosinhos,2775.4
2020,Mealhada,175.6
2020,Mêda,16.1
2020,Melgaço,32.8
2020,Mértola,4.9
2020,Mesão Frio,133.4
2020,Mira,98.3
2020,Miranda do Corvo,95.6
2020,Miranda do Douro,13.4
2020,Mirandela,32.6
2020,Mogadouro,11.1
2020,Moimenta da Beira,43.0
2020,Moita,1206.9
2020,Monção,84.9
2020,Monchique,13.9
2020,Mondim de Basto,37.6
2020,Monforte,7.1
2020,Montalegre,11.5
2020,Montemor-o-Novo,12.9
2020,Montemor-o-Velho,107.8
2020,Montijo,161.1
2020,Mora,9.5
2020,Mortágua,35.9
2020,Moura,13.9
2020,Mourão,8.4
2020,Murça,27.9
2020,Murtosa,143.8
2020,Nazaré,180.9
2020,Nelas,105.2
2020,Nisa,10.4
2020,Nordeste,43.7
2020,Óbidos,85.0
2020,Odemira,17.3
2020,Odivelas,5606.0
2020,Oeiras,3743.7
2020,Oleiros,10.4
2020,Olhão,342.9
2020,Oliveira de Azeméis,412.5
2020,Oliveira de Frades,65.8
2020,Oliveira do Bairro,266.8
2020,Oliveira do Hospital,83.2
2020,Ourém,107.5
2020,Ourique,7.3
2020,Ovar,373.7
2020,Paços de Ferreira,786.4
2020,Palmela,149.4
2020,Pampilhosa da Serra,10.3
2020,Paredes,540.4
2020,Paredes de Coura,63.1
2020,Pedrógão Grande,26.7
2020,Penacova,60.8
2020,Penafiel,329.4
2020,Penalva do Castelo,54.8
2020,Penamacor,8.5
2020,Penedono,20.8
2020,Penela,40.6
2020,Peniche,342.8
2020,Peso da Régua,154.2
2020,Pinhel,16.9
2020,Pombal,82.3
2020,Ponta Delgada,289.8
2020,Ponta do Sol,181.4
2020,Ponte da Barca,61.1
2020,Ponte de Lima,129.1
2020,Ponte de Sor,18.3
2020,Portalegre,50.1
2020,Portel,9.5
2020,Portimão,330.2
2020,Porto,5622.2
2020,Porto de Mós,89.0
2020,Porto Moniz,29.9
2020,Porto Santo,120.9
2020,Póvoa de Lanhoso,162.6
2020,Póvoa de Varzim,784.8
2020,Povoação,55.0
2020,Proença-a-Nova,18.1
2020,Redondo,17.1
2020,Reguengos de Monsaraz,21.4
2020,Resende,81.9
2020,Ribeira Brava,194.7
2020,Ribeira de Pena,27.1
2020,Ribeira Grande,175.1
2020,Rio Maior,77.6
2020,Sabrosa,35.5
2020,Sabugal,13.8
2020,Salvaterra de Magos,89.2
2020,Santa Comba Dão,95.9
2020,Santa Cruz,521.1
2020,Santa Cruz da Graciosa,67.5
2020,Santa Cruz das Flores,28.6
2020,Santa Maria da Feira,635.6
2020,Santa Marta de Penaguião,88.2
2020,Santana,68.9
2020,Santarém,106.8
2020,Santiago do Cacém,26.4
2020,Santo Tirso,497.9
2020,São Brás de Alportel,73.7
2020,São João da Madeira,2802.3
2020,São João da Pesqueira,25.8
2020,São Pedro do Sul,43.6
2020,São Roque do Pico,22.7
2020,São Vicente,62.0
2020,Sardoal,38.2
2020,Sátão,54.8
2020,Seia,50.2
2020,Seixal,1752.6
