municipality,quarter_year,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm
Sardoal,3Q 2022,1090.49875,11.853247282608695,12.332608695652173,115.4,1.2543478260869565
Sardoal,3Q 2023,1088.8156833333333,11.834953079710145,13.89782608695652,101.8,1.1065217391304347
Sardoal,3Q 2024,1096.4330111111112,11.917750120772949,14.380434782608695,39.1,0.425
Sardoal,4Q 2019,599.749875,6.519020380434783,13.376086956521737,425.0,4.619565217391305
Sardoal,4Q 2020,645.1766138888889,7.012789281400967,11.94891304347826,399.0,4.336956521739131
Sardoal,4Q 2021,708.5639638888889,7.701782216183575,13.319565217391306,232.8,2.5304347826086957
Sardoal,4Q 2022,533.4753944444444,5.798645591787439,11.48695652173913,649.9,7.064130434782609
Sardoal,4Q 2023,611.5759444444444,6.64756461352657,11.38804347826087,369.5,4.016304347826087
Sardoal,4Q 2024,679.919975,7.390434510869565,13.082608695652173,309.8,3.367391304347826
Seia,1Q 2020,670.5697305555556,7.368898137973138,9.334065934065935,282.3,3.1021978021978023
Seia,1Q 2021,668.6661805555556,7.4296242283950615,10.972222222222221,526.0,5.844444444444444
Seia,1Q 2022,709.8980444444444,7.887756049382715,8.172222222222222,224.5,2.4944444444444445
Seia,1Q 2023,712.4741861111111,7.916379845679012,9.219999999999999,363.5,4.038888888888889
Seia,1Q 2024,601.5682777777778,6.6106404151404154,10.707692307692307,726.9,7.987912087912088
Seia,1Q 2025,590.0516638888889,6.556129598765432,9.82,627.0,6.966666666666667
Seia,2Q 2020,987.3436777777778,10.849930525030524,8.850549450549451,268.9,2.9549450549450547
Seia,2Q 2021,1011.347425,11.113707967032967,8.279120879120878,273.6,3.006593406593407
Seia,2Q 2022,1004.0231305555556,11.033221214896216,9.451648351648352,201.9,2.218681318681319
Seia,2Q 2023,1025.3133555555555,11.26717973137973,8.545054945054945,274.8,3.0197802197802197
Seia,2Q 2024,1027.9802388888888,11.29648614163614,9.194505494505496,344.59999999999997,3.7868131868131862
Seia,3Q 2020,1096.44055,11.917832065217391,8.277173913043478,82.8,0.9
Seia,3Q 2021,1081.9196194444444,11.75999586352657,8.533695652173913,85.3,0.9271739130434782
